Time,x,y,z
1,0.49,-1.61,0.35
2,0.63,-1.61,0.35
3,0.49,-1.61,0.28
4,0.49,-1.47,0.35
5,0.42,-1.68,0.21
6,0.63,-1.61,0.35
7,0.56,-1.54,0.28
8,0.56,-1.54,0.42
9,0.63,-1.54,0.42
10,0.49,-1.68,0.35
11,0.56,-1.54,0.35
12,0.63,-1.68,0.42
13,0.49,-1.54,0.35
14,0.49,-1.68,0.42
15,0.49,-1.54,0.28
16,0.49,-1.54,0.28
17,0.42,-1.54,0.35
18,0.42,-1.54,0.28
19,0.49,-1.54,0.49
20,0.63,-1.47,0.35
21,0.49,-1.68,0.28
22,0.49,-1.68,0.35
23,0.56,-1.61,0.35
24,0.56,-1.47,0.35
25,0.70,-1.61,0.42
26,0.49,-1.75,0.28
27,0.77,-1.68,0.35
28,0.63,-1.68,0.42
29,0.77,-1.61,0.49
30,0.56,-1.68,0.28
31,0.63,-1.68,0.35
32,0.56,-1.68,0.42
33,0.49,-1.75,0.28
34,0.63,-1.68,0.28
35,0.56,-1.68,0.35
36,0.63,-1.68,0.35
37,0.56,-1.61,0.28
38,0.56,-1.61,0.21
39,0.49,-1.54,0.35
40,0.49,-1.61,0.35
41,0.49,-1.61,0.35
42,0.49,-1.61,0.35
43,0.70,-1.54,0.35
44,0.49,-1.61,0.42
45,0.63,-1.61,0.28
46,0.56,-1.54,0.35
47,0.56,-1.61,0.35
48,0.63,-1.54,0.28
49,0.42,-1.82,0.28
50,0.56,-1.54,0.35
51,0.49,-1.54,0.42
52,0.63,-1.54,0.49
53,0.42,-1.61,0.42
54,0.42,-1.68,0.21
55,0.56,-1.61,0.21
56,0.56,-1.68,0.42
57,0.56,-1.47,0.42
58,0.49,-1.68,0.42
59,0.63,-1.54,0.42
60,0.42,-1.68,0.28
61,0.56,-1.68,0.49
62,0.63,-1.61,0.35
63,0.63,-1.61,0.42
64,0.77,-1.54,0.35
65,0.56,-1.68,0.14
66,0.63,-1.68,0.42
67,0.56,-1.61,0.28
68,0.63,-1.61,0.35
69,0.49,-1.61,0.28
70,0.56,-1.68,0.42
71,0.42,-1.47,0.42
72,0.21,-1.61,0.28
73,0.49,-1.68,0.42
74,0.56,-1.61,0.35
75,0.56,-1.61,0.49
76,0.49,-1.54,0.49
77,0.49,-1.75,0.28
78,0.63,-1.61,0.35
79,0.56,-1.54,0.42
80,0.63,-1.61,0.49
81,0.49,-1.68,0.28
82,0.63,-1.54,0.35
83,0.63,-1.61,0.35
84,0.70,-1.68,0.42
85,0.56,-1.68,0.42
86,0.49,-1.61,0.42
87,0.49,-1.54,0.42
88,0.21,-1.68,0.35
89,0.42,-1.68,0.28
90,0.49,-1.61,0.42
91,0.63,-1.54,0.49
92,0.63,-1.54,0.49
93,0.49,-1.68,0.21
94,0.63,-1.61,0.28
95,0.56,-1.61,0.35
96,0.70,-1.61,0.42
97,0.63,-1.61,0.28
98,0.77,-1.54,0.35
99,0.63,-1.61,0.35
100,0.49,-1.68,0.35
101,0.49,-1.68,0.35
102,0.42,-1.61,0.35
103,0.56,-1.61,0.42
104,0.42,-1.61,0.28
105,0.35,-1.75,0.28
106,0.49,-1.61,0.35
107,0.42,-1.61,0.42
108,0.70,-1.54,0.63
109,0.49,-1.68,0.35
110,0.56,-1.75,0.35
111,0.63,-1.61,0.35
112,0.56,-1.54,0.42
113,0.70,-1.54,0.49
114,0.56,-1.68,0.35
115,0.63,-1.54,0.35
116,0.49,-1.68,0.35
117,0.56,-1.61,0.35
118,0.49,-1.54,0.35
119,0.56,-1.40,0.49
120,0.56,-1.61,0.42
121,0.56,-1.47,0.42
122,0.49,-1.61,0.42
123,0.35,-1.54,0.35
124,0.56,-1.40,0.28
125,0.42,-1.54,0.28
126,0.35,-1.61,0.28
