Time,x,y,z
1,0.63,-1.47,0.35
2,0.70,-1.68,0.49
3,0.49,-1.82,0.28
4,0.70,-1.68,0.35
5,0.77,-1.68,0.42
6,0.70,-1.68,0.42
7,0.63,-1.68,0.42
8,0.63,-1.68,0.35
9,0.56,-1.75,0.49
10,0.56,-1.82,0.35
11,0.56,-1.68,0.35
12,0.63,-1.61,0.42
13,0.56,-1.61,0.35
14,0.56,-1.61,0.35
15,0.56,-1.75,0.35
16,0.56,-1.75,0.21
17,0.77,-1.75,0.42
18,0.63,-1.75,0.28
19,0.56,-1.68,0.21
20,0.70,-1.75,0.49
21,0.70,-1.75,0.49
22,0.56,-1.68,0.28
23,0.63,-1.61,0.42
24,0.49,-1.61,0.42
25,0.42,-1.54,0.42
26,0.56,-1.54,0.49
27,0.35,-1.61,0.35
28,0.42,-1.40,0.42
29,0.42,-1.40,0.42
30,0.28,-1.54,0.35
31,0.35,-1.47,0.28
32,0.42,-1.61,0.28
33,0.49,-1.40,0.35
34,0.63,-1.54,0.35
35,0.56,-1.47,0.35
36,0.35,-1.61,0.28
37,0.56,-1.68,0.21
38,0.49,-1.54,0.56
39,0.49,-1.61,0.35
40,0.63,-1.54,0.42
41,0.28,-1.61,0.21
42,0.49,-1.61,0.35
43,0.42,-1.54,0.35
44,0.42,-1.61,0.35
45,0.42,-1.61,0.42
46,0.28,-1.61,0.35
47,0.49,-1.61,0.35
48,0.63,-1.54,0.42
49,0.63,-1.68,0.35
50,0.63,-1.68,0.49
51,0.70,-1.82,0.28
52,0.63,-1.82,0.42
53,0.70,-1.75,0.35
54,0.70,-1.82,0.35
55,0.77,-1.75,0.35
56,0.91,-1.75,0.21
57,0.63,-1.75,0.35
58,0.42,-1.68,0.35
59,0.56,-1.68,0.42
60,0.49,-1.54,0.28
61,0.49,-1.61,0.35
62,0.49,-1.54,0.21
63,0.35,-1.75,0.21
64,0.56,-1.54,0.42
65,0.42,-1.61,0.35
66,0.56,-1.61,0.49
67,0.63,-1.61,0.49
68,0.49,-1.75,0.35
69,0.63,-1.68,0.35
70,0.63,-1.68,0.28
71,0.77,-1.61,0.35
