Time,x,y,z
1,0.42,-1.68,0.28
2,0.42,-1.61,0.35
3,0.56,-1.61,0.35
4,0.70,-1.61,0.28
5,0.77,-1.68,0.42
6,0.70,-1.68,0.35
7,0.49,-1.54,0.28
8,0.42,-1.54,0.49
9,0.42,-1.61,0.35
10,0.63,-1.54,0.35
11,0.42,-1.68,0.35
12,0.63,-1.54,0.49
13,0.56,-1.68,0.21
14,0.35,-1.68,0.42
15,0.35,-1.61,0.35
16,0.49,-1.54,0.42
17,0.42,-1.68,0.42
18,0.42,-1.68,0.42
19,0.70,-1.68,0.35
20,0.63,-1.61,0.35
21,0.77,-1.47,0.42
22,0.70,-1.47,0.42
23,0.56,-1.61,0.28
24,0.49,-1.61,0.49
25,0.42,-1.54,0.42
26,0.63,-1.54,0.35
27,0.56,-1.61,0.35
28,0.63,-1.68,0.42
29,0.42,-1.54,0.42
30,0.35,-1.47,0.42
31,0.49,-1.54,0.35
32,0.28,-1.54,0.35
33,0.35,-1.47,0.42
34,0.28,-1.54,0.42
35,0.56,-1.61,0.35
36,0.63,-1.68,0.35
37,0.63,-1.54,0.28
38,0.70,-1.61,0.35
39,0.28,-1.68,0.28
40,0.28,-1.54,0.28
41,0.28,-1.33,0.28
42,0.42,-1.54,0.35
43,0.56,-1.33,0.35
44,0.35,-1.61,0.28
45,0.63,-1.61,0.35
46,0.49,-1.54,0.35
47,0.35,-1.47,0.28
48,0.42,-1.47,0.28
49,0.28,-1.33,0.35
50,0.35,-1.40,0.35
51,0.28,-1.61,0.42
52,0.49,-1.54,0.42
53,0.28,-1.47,0.49
54,0.42,-1.54,0.42
55,0.42,-1.54,0.21
56,0.35,-1.54,0.28
57,0.49,-1.54,0.49
58,0.35,-1.47,0.35
59,0.42,-1.54,0.42
60,0.42,-1.54,0.42
61,0.49,-1.47,0.35
62,0.42,-1.54,0.42
63,0.21,-1.47,0.28
64,0.28,-1.47,0.42
65,0.21,-1.40,0.42
66,0.49,-1.40,0.28
67,0.63,-1.47,0.28
68,0.70,-1.61,0.35
69,0.56,-1.47,0.35
70,0.63,-1.47,0.28
71,0.77,-1.40,0.28
72,0.28,-1.54,0.28
73,0.00,-1.54,0.42
74,-0.07,-1.54,0.21
75,0.14,-1.40,0.35
76,0.56,-1.40,0.42
77,0.70,-1.61,0.35
78,0.70,-1.61,0.28
79,0.77,-1.61,0.21
80,0.91,-1.75,0.42
81,0.28,-1.75,0.28
82,0.21,-1.75,0.35
83,-0.07,-1.61,0.42
84,0.42,-1.61,0.35
85,0.70,-1.61,0.35
86,0.84,-1.75,0.49
87,1.05,-1.82,0.42
88,0.84,-1.75,0.28
89,0.91,-1.68,0.35
90,0.35,-1.68,0.42
91,0.28,-1.75,0.35
92,0.21,-1.61,0.42
93,0.77,-1.54,0.35
94,0.98,-1.61,0.35
95,0.77,-1.68,0.49
96,1.05,-1.68,0.28
97,0.98,-1.61,0.42
98,0.49,-1.61,0.42
99,0.21,-1.61,0.42
100,-0.14,-1.68,0.42
101,0.77,-1.68,0.42
102,0.84,-1.54,0.28
103,1.33,-1.68,0.49
104,0.77,-1.75,0.35
