Time,x,y,z
1,0.49,-1.75,0.42
2,0.56,-1.75,0.42
3,0.49,-1.68,0.35
4,0.49,-1.68,0.35
5,0.56,-1.61,0.35
6,0.49,-1.54,0.35
7,0.70,-1.68,0.42
8,0.56,-1.61,0.28
9,0.70,-1.47,0.42
10,0.63,-1.61,0.35
11,0.63,-1.61,0.42
12,0.70,-1.61,0.35
13,0.49,-1.61,0.28
14,0.63,-1.61,0.49
15,0.49,-1.61,0.49
16,0.77,-1.61,0.42
17,0.49,-1.68,0.42
18,0.56,-1.68,0.35
19,0.63,-1.61,0.42
20,0.56,-1.54,0.42
21,0.63,-1.54,0.42
22,0.49,-1.68,0.35
23,0.70,-1.54,0.42
24,0.49,-1.61,0.35
25,0.63,-1.68,0.49
26,0.56,-1.68,0.49
27,0.49,-1.75,0.28
28,0.56,-1.68,0.42
29,0.49,-1.61,0.28
30,0.56,-1.68,0.28
31,0.56,-1.61,0.42
32,0.70,-1.54,0.21
33,0.49,-1.68,0.35
34,0.56,-1.68,0.42
35,0.63,-1.61,0.35
36,0.56,-1.61,0.35
37,0.56,-1.54,0.35
38,0.56,-1.61,0.21
39,0.63,-1.61,0.35
40,0.56,-1.61,0.35
41,0.49,-1.61,0.42
42,0.56,-1.54,0.49
43,0.49,-1.61,0.35
44,0.49,-1.61,0.42
45,0.42,-1.68,0.35
46,0.63,-1.68,0.63
47,0.35,-1.61,0.14
48,0.63,-1.68,0.28
49,0.49,-1.61,0.42
50,0.56,-1.68,0.35
51,0.49,-1.54,0.49
52,0.42,-1.75,0.35
53,0.56,-1.61,0.35
54,0.70,-1.61,0.42
55,0.49,-1.68,0.42
56,0.49,-1.68,0.35
57,0.42,-1.68,0.35
58,0.56,-1.68,0.21
59,0.56,-1.68,0.35
60,0.63,-1.61,0.42
61,0.42,-1.61,0.42
62,0.63,-1.68,0.28
63,0.49,-1.75,0.35
64,0.63,-1.54,0.35
65,0.70,-1.61,0.42
66,0.63,-1.61,0.42
67,0.63,-1.68,0.28
68,0.56,-1.68,0.42
69,0.56,-1.68,0.35
70,0.63,-1.54,0.42
71,0.70,-1.61,0.42
72,0.56,-1.54,0.28
73,0.42,-1.61,0.42
74,0.70,-1.54,0.42
75,0.63,-1.61,0.28
76,0.77,-1.47,0.35
77,0.35,-1.75,0.21
78,0.35,-1.75,0.35
79,0.56,-1.54,0.56
80,0.49,-1.54,0.42
81,0.56,-1.54,0.49
82,0.56,-1.61,0.35
83,0.56,-1.61,0.42
84,0.49,-1.61,0.28
85,0.56,-1.61,0.35
86,0.49,-1.61,0.49
87,0.56,-1.68,0.42
88,0.49,-1.54,0.21
89,0.49,-1.61,0.35
90,0.56,-1.61,0.35
91,0.49,-1.68,0.42
92,0.63,-1.47,0.42
93,0.56,-1.68,0.42
94,0.49,-1.61,0.35
95,0.42,-1.61,0.35
96,0.49,-1.68,0.35
97,0.56,-1.61,0.42
98,0.49,-1.75,0.14
99,0.70,-1.54,0.42
100,0.56,-1.54,0.35
101,0.63,-1.68,0.42
102,0.56,-1.61,0.42
103,0.63,-1.54,0.28
104,0.63,-1.61,0.42
105,0.56,-1.68,0.28
106,0.63,-1.68,0.49
107,0.49,-1.68,0.42
108,0.49,-1.68,0.28
109,0.70,-1.68,0.42
110,0.49,-1.61,0.49
111,0.63,-1.61,0.35
112,0.63,-1.75,0.35
113,0.63,-1.75,0.42
114,0.56,-1.61,0.35
115,0.49,-1.61,0.28
116,0.77,-1.61,0.35
117,0.49,-1.68,0.42
118,0.70,-1.68,0.49
119,0.56,-1.75,0.35
120,0.63,-1.68,0.35
121,0.63,-1.61,0.28
122,0.49,-1.68,0.28
123,0.63,-1.68,0.42
124,0.56,-1.75,0.42
125,0.70,-1.61,0.35
126,0.63,-1.61,0.42
127,0.56,-1.61,0.42
128,0.70,-1.61,0.42
129,0.49,-1.68,0.35
130,0.70,-1.54,0.42
131,0.56,-1.61,0.42
132,0.42,-1.68,0.21
133,0.56,-1.61,0.35
134,0.56,-1.68,0.35
135,0.56,-1.61,0.28
136,0.56,-1.61,0.35
137,0.35,-1.68,0.42
138,0.63,-1.68,0.35
139,0.56,-1.61,0.49
140,0.70,-1.61,0.42
141,0.49,-1.68,0.35
142,0.63,-1.61,0.35
143,0.70,-1.54,0.42
144,0.56,-1.61,0.35
145,0.56,-1.68,0.35
146,0.49,-1.68,0.35
147,0.56,-1.75,0.21
148,0.56,-1.61,0.35
149,0.35,-1.68,0.35
150,0.70,-1.61,0.42
151,0.56,-1.61,0.28
152,0.63,-1.54,0.35
153,0.49,-1.61,0.49
154,0.42,-1.61,0.28
155,0.49,-1.61,0.42
156,0.49,-1.54,0.42
157,0.63,-1.54,0.35
158,0.49,-1.68,0.28
159,0.56,-1.68,0.35
160,0.56,-1.61,0.35
161,0.56,-1.61,0.28
162,0.56,-1.61,0.49
163,0.56,-1.61,0.35
164,0.70,-1.61,0.42
165,0.49,-1.68,0.21
166,0.70,-1.61,0.42
167,0.56,-1.61,0.28
168,0.49,-1.61,0.49
169,0.56,-1.54,0.28
170,0.56,-1.68,0.21
171,0.63,-1.61,0.28
172,0.56,-1.68,0.35
173,0.63,-1.68,0.42
174,0.63,-1.61,0.28
175,0.42,-1.61,0.35
176,0.56,-1.68,0.42
177,0.42,-1.61,0.28
178,0.63,-1.68,0.35
179,0.70,-1.75,0.35
180,0.49,-1.75,0.35
181,0.56,-1.54,0.35
182,0.35,-1.68,0.49
183,0.56,-1.68,0.28
184,0.49,-1.61,0.42
185,0.77,-1.61,0.56
186,0.56,-1.61,0.42
187,0.49,-1.75,0.28
188,0.63,-1.82,0.42
189,0.49,-1.68,0.42
190,0.70,-1.47,0.42
191,0.70,-1.61,0.35
192,0.42,-1.61,0.28
193,0.63,-1.61,0.28
194,0.70,-1.54,0.56
195,0.42,-1.61,0.28
196,0.56,-1.61,0.42
197,0.49,-1.54,0.28
198,0.42,-1.68,0.42
199,0.70,-1.61,0.56
200,0.42,-1.54,0.35
201,0.70,-1.54,0.42
202,0.35,-1.68,0.35
203,0.56,-1.75,0.28
204,0.56,-1.68,0.35
205,0.56,-1.54,0.49
206,0.63,-1.47,0.49
207,0.42,-1.82,0.35
208,0.56,-1.68,0.35
209,0.49,-1.54,0.35
210,0.56,-1.61,0.35
211,0.63,-1.61,0.42
212,0.49,-1.82,0.28
213,0.56,-1.68,0.28
214,0.49,-1.54,0.35
215,0.56,-1.54,0.49
216,0.56,-1.54,0.35
217,0.56,-1.54,0.42
218,0.63,-1.54,0.42
219,0.28,-1.68,0.28
220,0.56,-1.68,0.42
221,0.49,-1.61,0.42
222,0.70,-1.61,0.49
223,0.49,-1.68,0.35
224,0.56,-1.61,0.42
225,0.63,-1.68,0.28
226,0.56,-1.54,0.42
227,0.70,-1.68,0.56
228,0.49,-1.68,0.28
229,0.49,-1.68,0.35
230,0.49,-1.61,0.42
231,0.49,-1.68,0.28
232,0.49,-1.68,0.42
233,0.56,-1.61,0.42
234,0.63,-1.61,0.49
235,0.35,-1.61,0.21
236,0.56,-1.75,0.35
