Time,x,y,z
1,0.49,-1.61,0.35
2,0.49,-1.61,0.35
3,0.56,-1.54,0.35
4,0.63,-1.54,0.42
5,0.56,-1.68,0.28
6,0.56,-1.61,0.28
7,0.49,-1.47,0.21
8,0.63,-1.47,0.35
9,0.56,-1.47,0.42
10,0.56,-1.54,0.21
11,0.63,-1.47,0.35
12,0.49,-1.47,0.35
13,0.49,-1.54,0.28
14,0.42,-1.54,0.28
15,0.63,-1.47,0.35
16,0.42,-1.47,0.35
17,0.56,-1.47,0.35
18,0.56,-1.40,0.42
19,0.63,-1.47,0.42
20,0.56,-1.47,0.28
21,0.49,-1.61,0.28
22,0.56,-1.47,0.35
23,0.49,-1.40,0.28
24,0.70,-1.54,0.49
25,0.42,-1.61,0.21
26,0.56,-1.61,0.42
27,0.49,-1.54,0.42
28,0.63,-1.61,0.42
29,0.56,-1.61,0.42
30,0.56,-1.47,0.42
31,0.56,-1.54,0.42
32,0.42,-1.68,0.14
33,0.56,-1.47,0.49
34,0.56,-1.47,0.35
35,0.63,-1.54,0.42
36,0.42,-1.61,0.35
37,0.56,-1.54,0.35
38,0.49,-1.61,0.42
39,0.63,-1.47,0.42
40,0.56,-1.47,0.42
41,0.42,-1.61,0.35
42,0.49,-1.54,0.35
43,0.49,-1.61,0.35
44,0.56,-1.61,0.35
45,0.70,-1.54,0.35
46,0.70,-1.54,0.49
47,0.49,-1.61,0.21
48,0.56,-1.61,0.28
49,0.56,-1.47,0.28
50,0.70,-1.47,0.35
51,0.56,-1.54,0.21
52,0.49,-1.61,0.21
53,0.63,-1.54,0.28
54,0.63,-1.47,0.35
55,0.70,-1.40,0.42
56,0.56,-1.47,0.35
57,0.70,-1.54,0.42
58,0.56,-1.61,0.21
59,0.56,-1.54,0.35
60,0.56,-1.54,0.42
61,0.63,-1.47,0.35
62,0.56,-1.47,0.42
63,0.49,-1.75,0.21
64,0.56,-1.54,0.42
65,0.49,-1.47,0.28
66,0.56,-1.47,0.21
67,0.42,-1.68,0.14
68,0.49,-1.54,0.42
69,0.49,-1.47,0.28
70,0.56,-1.61,0.42
71,0.63,-1.47,0.42
72,0.49,-1.47,0.35
73,0.56,-1.47,0.35
74,0.49,-1.68,0.35
75,0.49,-1.54,0.49
76,0.63,-1.47,0.42
77,0.70,-1.47,0.35
78,0.42,-1.61,0.28
79,0.63,-1.54,0.49
80,0.49,-1.54,0.42
81,0.63,-1.54,0.49
82,0.56,-1.68,0.28
83,0.56,-1.68,0.28
84,0.63,-1.61,0.35
85,0.56,-1.68,0.35
86,0.63,-1.61,0.42
87,0.63,-1.40,0.35
88,0.63,-1.47,0.42
89,0.42,-1.61,0.21
90,0.63,-1.47,0.42
91,0.63,-1.54,0.42
92,0.77,-1.54,0.42
93,0.56,-1.54,0.35
94,0.56,-1.61,0.35
95,0.63,-1.61,0.42
96,0.63,-1.47,0.49
97,0.70,-1.54,0.42
98,0.63,-1.54,0.35
99,0.63,-1.40,0.42
100,0.56,-1.61,0.28
101,0.70,-1.68,0.35
102,0.49,-1.54,0.28
103,0.63,-1.54,0.35
104,0.56,-1.54,0.28
105,0.56,-1.54,0.35
106,0.63,-1.47,0.28
107,0.63,-1.54,0.35
108,0.63,-1.47,0.35
109,0.49,-1.68,0.14
110,0.63,-1.54,0.35
111,0.49,-1.54,0.35
112,0.56,-1.61,0.42
113,0.49,-1.68,0.28
114,0.56,-1.47,0.42
115,0.56,-1.40,0.28
116,0.56,-1.54,0.21
117,0.63,-1.47,0.42
118,0.56,-1.54,0.28
119,0.63,-1.54,0.42
120,0.35,-1.68,0.28
121,0.49,-1.54,0.42
122,0.42,-1.47,0.42
123,0.56,-1.47,0.56
124,0.35,-1.54,0.35
125,0.56,-1.47,0.42
126,0.42,-1.61,0.21
127,0.56,-1.47,0.42
128,0.56,-1.54,0.28
129,0.56,-1.61,0.35
130,0.63,-1.61,0.35
131,0.42,-1.75,0.35
132,0.63,-1.54,0.28
133,0.56,-1.47,0.49
134,0.77,-1.61,0.56
135,0.49,-1.61,0.28
136,0.56,-1.68,0.35
137,0.63,-1.61,0.35
138,0.63,-1.54,0.42
139,0.49,-1.54,0.21
140,0.56,-1.47,0.21
141,0.63,-1.54,0.35
142,0.49,-1.61,0.35
143,0.63,-1.54,0.28
144,0.56,-1.47,0.35
145,0.77,-1.61,0.35
146,0.49,-1.61,0.28
147,0.49,-1.61,0.42
148,0.63,-1.47,0.35
149,0.70,-1.54,0.35
150,0.63,-1.47,0.42
151,0.56,-1.68,0.28
152,0.56,-1.54,0.35
153,0.49,-1.61,0.42
154,0.63,-1.47,0.42
155,0.49,-1.61,0.35
156,0.63,-1.47,0.35
157,0.42,-1.54,0.28
158,0.56,-1.54,0.35
159,0.56,-1.47,0.35
160,0.63,-1.40,0.49
161,0.70,-1.47,0.42
162,0.35,-1.68,0.21
163,0.56,-1.54,0.56
164,0.49,-1.54,0.35
165,0.70,-1.40,0.42
166,0.49,-1.61,0.42
167,0.63,-1.54,0.42
168,0.56,-1.54,0.35
169,0.49,-1.61,0.28
170,0.49,-1.54,0.28
171,0.63,-1.47,0.42
172,0.56,-1.54,0.35
173,0.49,-1.61,0.21
174,0.63,-1.61,0.63
175,0.49,-1.54,0.42
176,0.77,-1.54,0.49
177,0.42,-1.61,0.35
178,0.56,-1.61,0.28
179,0.56,-1.54,0.35
180,0.63,-1.47,0.21
181,0.56,-1.61,0.35
182,0.63,-1.47,0.21
183,0.63,-1.47,0.49
184,0.42,-1.61,0.42
185,0.56,-1.47,0.35
186,0.56,-1.61,0.35
187,0.70,-1.54,0.42
188,0.56,-1.54,0.28
189,0.56,-1.54,0.35
190,0.49,-1.54,0.35
191,0.70,-1.54,0.35
192,0.56,-1.47,0.14
193,0.35,-1.54,0.21
194,0.56,-1.61,0.28
195,0.49,-1.54,0.28
196,0.63,-1.47,0.28
197,0.63,-1.54,0.42
198,0.63,-1.54,0.35
199,0.56,-1.47,0.28
200,0.49,-1.54,0.35
201,0.56,-1.54,0.42
202,0.56,-1.47,0.35
203,0.63,-1.61,0.49
204,0.35,-1.54,0.28
205,0.63,-1.61,0.42
206,0.56,-1.61,0.35
