Time,x,y,z
1,0.56,-1.47,0.35
2,0.49,-1.47,0.28
3,0.56,-1.54,0.42
4,0.63,-1.47,0.35
5,0.49,-1.68,0.42
6,0.56,-1.54,0.35
7,0.56,-1.61,0.42
8,0.63,-1.47,0.49
9,0.56,-1.61,0.35
10,0.56,-1.54,0.28
11,0.49,-1.61,0.35
12,0.63,-1.54,0.42
13,0.56,-1.54,0.35
14,0.42,-1.61,0.28
15,0.56,-1.47,0.35
16,0.49,-1.54,0.49
17,0.70,-1.40,0.49
18,0.49,-1.61,0.28
19,0.70,-1.54,0.35
20,0.49,-1.61,0.28
21,0.56,-1.61,0.35
22,0.49,-1.54,0.49
23,0.63,-1.54,0.35
24,0.63,-1.54,0.49
25,0.56,-1.61,0.21
26,0.56,-1.54,0.35
27,0.56,-1.47,0.35
28,0.70,-1.54,0.35
29,0.49,-1.54,0.28
30,0.56,-1.47,0.21
31,0.56,-1.54,0.49
32,0.56,-1.47,0.42
33,0.56,-1.47,0.42
34,0.56,-1.61,0.35
35,0.70,-1.47,0.35
36,0.35,-1.61,0.14
37,0.49,-1.61,0.35
38,0.49,-1.54,0.28
39,0.63,-1.54,0.35
40,0.56,-1.61,0.28
41,0.49,-1.68,0.35
42,0.56,-1.54,0.49
43,0.56,-1.54,0.35
44,0.70,-1.54,0.35
45,0.49,-1.75,0.28
46,0.56,-1.54,0.42
47,0.42,-1.75,0.14
48,0.77,-1.54,0.42
49,0.49,-1.47,0.35
50,0.63,-1.47,0.35
51,0.49,-1.54,0.35
52,0.56,-1.54,0.35
53,0.56,-1.68,0.28
54,0.56,-1.54,0.35
55,0.56,-1.47,0.35
56,0.49,-1.61,0.35
57,0.56,-1.54,0.42
58,0.49,-1.54,0.35
59,0.70,-1.54,0.56
60,0.56,-1.54,0.42
61,0.63,-1.61,0.42
62,0.49,-1.61,0.35
63,0.56,-1.61,0.28
64,0.49,-1.54,0.21
65,0.63,-1.47,0.42
66,0.63,-1.40,0.49
67,0.49,-1.68,0.35
68,0.63,-1.68,0.35
69,0.49,-1.68,0.42
70,0.56,-1.54,0.49
71,0.56,-1.47,0.35
72,0.49,-1.68,0.28
73,0.56,-1.54,0.28
74,0.49,-1.47,0.35
75,0.77,-1.61,0.42
76,0.42,-1.75,0.35
77,0.63,-1.40,0.35
78,0.56,-1.54,0.28
79,0.56,-1.61,0.35
80,0.49,-1.47,0.35
81,0.70,-1.47,0.35
82,0.63,-1.61,0.35
83,0.49,-1.61,0.35
84,0.56,-1.54,0.28
85,0.56,-1.54,0.35
86,0.70,-1.47,0.35
87,0.49,-1.61,0.42
88,0.56,-1.61,0.42
89,0.63,-1.47,0.35
90,0.63,-1.47,0.49
91,0.56,-1.61,0.21
92,0.56,-1.54,0.49
93,0.49,-1.61,0.42
94,0.49,-1.61,0.49
95,0.49,-1.61,0.28
96,0.42,-1.47,0.42
97,0.63,-1.61,0.28
98,0.63,-1.54,0.42
99,0.56,-1.54,0.21
100,0.63,-1.61,0.42
101,0.63,-1.54,0.49
102,0.49,-1.61,0.28
103,0.63,-1.61,0.28
104,0.49,-1.54,0.35
105,0.63,-1.40,0.35
106,0.70,-1.47,0.35
107,0.42,-1.61,0.21
108,0.63,-1.61,0.28
109,0.56,-1.54,0.35
110,0.70,-1.61,0.42
111,0.56,-1.54,0.35
112,0.63,-1.54,0.35
113,0.56,-1.54,0.35
114,0.49,-1.61,0.28
115,0.63,-1.61,0.35
116,0.63,-1.47,0.49
117,0.63,-1.54,0.35
118,0.42,-1.68,0.28
119,0.63,-1.61,0.35
120,0.63,-1.54,0.42
121,0.63,-1.47,0.49
122,0.49,-1.54,0.35
123,0.56,-1.54,0.28
124,0.49,-1.61,0.42
125,0.63,-1.61,0.42
126,0.49,-1.54,0.28
127,0.56,-1.54,0.28
128,0.63,-1.47,0.28
129,0.42,-1.68,0.21
130,0.56,-1.61,0.42
131,0.49,-1.54,0.28
132,0.70,-1.47,0.42
133,0.42,-1.54,0.28
134,0.49,-1.61,0.35
135,0.56,-1.61,0.35
136,0.56,-1.40,0.28
137,0.63,-1.61,0.35
138,0.42,-1.68,0.21
139,0.56,-1.61,0.35
140,0.56,-1.61,0.35
141,0.63,-1.47,0.35
142,0.63,-1.61,0.42
143,0.56,-1.54,0.42
144,0.63,-1.54,0.35
145,0.49,-1.68,0.14
146,0.56,-1.54,0.28
147,0.56,-1.54,0.28
148,0.63,-1.54,0.35
149,0.42,-1.68,0.35
150,0.56,-1.54,0.28
151,0.56,-1.54,0.28
152,0.63,-1.40,0.49
153,0.49,-1.61,0.28
154,0.49,-1.54,0.21
155,0.63,-1.47,0.49
156,0.56,-1.61,0.35
157,0.49,-1.54,0.49
158,0.49,-1.54,0.35
159,0.63,-1.47,0.35
160,0.35,-1.61,0.35
161,0.56,-1.54,0.35
162,0.49,-1.61,0.28
163,0.70,-1.54,0.42
164,0.49,-1.61,0.21
165,0.49,-1.61,0.21
166,0.56,-1.61,0.35
167,0.63,-1.54,0.35
168,0.63,-1.47,0.42
