Time,x,y,z
1,0.63,-1.54,0.42
2,0.56,-1.47,0.28
3,0.63,-1.47,0.28
4,0.49,-1.54,0.35
5,0.56,-1.61,0.35
6,0.56,-1.54,0.35
7,0.63,-1.47,0.42
8,0.56,-1.61,0.35
9,0.42,-1.75,0.35
10,0.63,-1.61,0.28
11,0.56,-1.54,0.28
12,0.63,-1.54,0.42
13,0.56,-1.68,0.28
14,0.56,-1.54,0.28
15,0.63,-1.54,0.42
16,0.63,-1.47,0.42
17,0.63,-1.40,0.42
18,0.56,-1.75,0.28
19,0.70,-1.54,0.42
20,0.49,-1.61,0.21
21,0.56,-1.61,0.35
22,0.56,-1.68,0.28
23,0.63,-1.54,0.35
24,0.56,-1.68,0.28
25,0.56,-1.54,0.35
26,0.49,-1.61,0.35
27,0.63,-1.54,0.35
28,0.70,-1.47,0.49
29,0.42,-1.54,0.35
30,0.56,-1.47,0.42
31,0.56,-1.47,0.35
32,0.70,-1.47,0.49
33,0.56,-1.61,0.35
34,0.42,-1.68,0.21
35,0.49,-1.61,0.28
36,0.56,-1.61,0.42
37,0.49,-1.54,0.21
38,0.56,-1.47,0.42
39,0.70,-1.40,0.42
40,0.49,-1.61,0.35
41,0.56,-1.61,0.28
42,0.56,-1.54,0.35
43,0.56,-1.47,0.35
44,0.63,-1.47,0.35
45,0.42,-1.68,0.28
46,0.49,-1.47,0.42
47,0.56,-1.54,0.42
48,0.63,-1.47,0.35
49,0.56,-1.68,0.28
50,0.63,-1.40,0.42
51,0.49,-1.61,0.28
52,0.63,-1.54,0.42
53,0.56,-1.40,0.35
54,0.56,-1.54,0.35
55,0.56,-1.40,0.42
56,0.56,-1.61,0.35
57,0.63,-1.54,0.49
58,0.56,-1.54,0.49
59,0.63,-1.47,0.35
60,0.49,-1.61,0.35
61,0.49,-1.68,0.35
62,0.56,-1.54,0.42
63,0.56,-1.54,0.42
64,0.56,-1.54,0.35
65,0.56,-1.68,0.35
66,0.56,-1.54,0.28
67,0.49,-1.54,0.21
68,0.56,-1.40,0.35
69,0.56,-1.54,0.28
70,0.63,-1.61,0.35
71,0.42,-1.61,0.28
72,0.49,-1.54,0.42
73,0.56,-1.54,0.42
74,0.63,-1.54,0.35
75,0.56,-1.54,0.35
76,0.42,-1.61,0.28
77,0.56,-1.54,0.28
78,0.49,-1.61,0.28
79,0.63,-1.47,0.35
80,0.56,-1.54,0.28
81,0.63,-1.47,0.42
82,0.49,-1.54,0.21
83,0.49,-1.61,0.28
84,0.56,-1.54,0.35
85,0.56,-1.54,0.35
86,0.63,-1.47,0.35
87,0.49,-1.68,0.28
88,0.56,-1.54,0.42
89,0.56,-1.54,0.42
90,0.63,-1.40,0.35
91,0.56,-1.54,0.28
92,0.63,-1.54,0.42
93,0.56,-1.61,0.35
94,0.56,-1.54,0.21
95,0.49,-1.61,0.21
96,0.63,-1.47,0.28
97,0.63,-1.54,0.42
98,0.49,-1.75,0.28
99,0.56,-1.61,0.35
100,0.63,-1.54,0.35
101,0.56,-1.47,0.35
102,0.49,-1.61,0.28
103,0.56,-1.68,0.35
104,0.56,-1.54,0.35
105,0.56,-1.47,0.28
106,0.49,-1.54,0.21
107,0.56,-1.47,0.35
108,0.56,-1.47,0.42
109,0.49,-1.54,0.28
110,0.56,-1.54,0.49
111,0.49,-1.54,0.28
112,0.56,-1.54,0.35
113,0.63,-1.54,0.35
114,0.42,-1.61,0.21
115,0.56,-1.61,0.35
116,0.56,-1.47,0.42
117,0.63,-1.54,0.35
118,0.49,-1.61,0.35
119,0.56,-1.54,0.42
120,0.63,-1.47,0.35
121,0.63,-1.54,0.35
122,0.49,-1.61,0.28
123,0.56,-1.61,0.21
124,0.42,-1.61,0.35
125,0.56,-1.54,0.35
126,0.49,-1.47,0.28
127,0.56,-1.61,0.28
128,0.56,-1.61,0.28
129,0.49,-1.61,0.28
130,0.56,-1.68,0.42
131,0.56,-1.61,0.28
132,0.63,-1.54,0.42
133,0.63,-1.47,0.49
134,0.49,-1.54,0.35
135,0.56,-1.61,0.35
136,0.49,-1.54,0.35
137,0.49,-1.54,0.28
138,0.49,-1.54,0.42
139,0.56,-1.54,0.28
140,0.56,-1.54,0.35
141,0.49,-1.54,0.35
142,0.56,-1.61,0.28
143,0.56,-1.68,0.35
144,0.63,-1.61,0.42
145,0.49,-1.68,0.28
146,0.63,-1.54,0.28
147,0.49,-1.54,0.35
148,0.49,-1.54,0.42
149,0.56,-1.54,0.42
150,0.49,-1.47,0.35
151,0.56,-1.54,0.28
152,0.49,-1.54,0.42
153,0.49,-1.47,0.35
154,0.56,-1.61,0.35
155,0.56,-1.54,0.35
156,0.56,-1.54,0.35
157,0.49,-1.54,0.35
158,0.56,-1.75,0.28
159,0.70,-1.61,0.28
160,0.56,-1.54,0.28
161,0.42,-1.61,0.35
162,0.56,-1.54,0.42
163,0.49,-1.54,0.42
164,0.70,-1.47,0.35
165,0.70,-1.47,0.35
166,0.49,-1.54,0.35
167,0.49,-1.68,0.35
168,0.56,-1.40,0.35
169,0.56,-1.54,0.28
170,0.63,-1.61,0.35
171,0.49,-1.47,0.42
172,0.56,-1.54,0.35
173,0.63,-1.54,0.35
174,0.49,-1.54,0.28
175,0.63,-1.47,0.42
176,0.42,-1.61,0.28
177,0.49,-1.61,0.28
178,0.63,-1.61,0.42
179,0.70,-1.54,0.42
180,0.63,-1.54,0.35
181,0.56,-1.54,0.28
182,0.49,-1.61,0.35
183,0.56,-1.54,0.49
