Time,x,y,z
1,0.63,-1.54,0.42
2,0.56,-1.54,0.42
3,0.56,-1.68,0.35
4,0.63,-1.61,0.28
5,0.49,-1.47,0.35
6,0.63,-1.40,0.49
7,0.56,-1.61,0.42
8,0.63,-1.47,0.42
9,0.49,-1.54,0.21
10,0.63,-1.54,0.21
11,0.56,-1.47,0.42
12,0.56,-1.47,0.42
13,0.56,-1.47,0.35
14,0.49,-1.68,0.28
15,0.56,-1.54,0.35
16,0.49,-1.61,0.35
17,0.70,-1.47,0.42
18,0.49,-1.61,0.28
19,0.56,-1.54,0.49
20,0.49,-1.54,0.35
21,0.49,-1.61,0.28
22,0.42,-1.54,0.28
23,0.63,-1.54,0.35
24,0.56,-1.47,0.28
25,0.35,-1.68,0.35
26,0.56,-1.54,0.21
27,0.56,-1.47,0.42
28,0.70,-1.40,0.49
29,0.42,-1.54,0.35
30,0.63,-1.61,0.21
31,0.56,-1.47,0.35
32,0.63,-1.61,0.35
33,0.49,-1.68,0.28
34,0.49,-1.61,0.28
35,0.56,-1.61,0.28
36,0.42,-1.61,0.42
37,0.49,-1.54,0.28
38,0.56,-1.47,0.42
39,0.63,-1.54,0.35
40,0.49,-1.61,0.35
41,0.70,-1.47,0.42
42,0.56,-1.61,0.35
43,0.70,-1.54,0.42
44,0.56,-1.61,0.35
45,0.49,-1.61,0.28
46,0.56,-1.54,0.35
47,0.63,-1.61,0.42
48,0.70,-1.54,0.49
49,0.56,-1.47,0.35
50,0.70,-1.47,0.49
51,0.56,-1.61,0.28
52,0.63,-1.54,0.42
53,0.49,-1.54,0.28
54,0.63,-1.47,0.42
55,0.56,-1.54,0.28
56,0.56,-1.54,0.28
57,0.56,-1.61,0.42
58,0.63,-1.47,0.35
59,0.63,-1.47,0.42
60,0.35,-1.61,0.21
61,0.49,-1.54,0.42
62,0.42,-1.68,0.28
63,0.56,-1.54,0.42
64,0.49,-1.54,0.35
65,0.63,-1.61,0.35
66,0.56,-1.61,0.28
67,0.56,-1.54,0.28
68,0.70,-1.54,0.42
69,0.56,-1.47,0.56
70,0.70,-1.61,0.28
71,0.42,-1.68,0.21
72,0.56,-1.40,0.28
73,0.56,-1.40,0.35
74,0.56,-1.47,0.42
75,0.49,-1.54,0.35
76,0.63,-1.47,0.35
77,0.56,-1.61,0.28
78,0.63,-1.61,0.35
79,0.63,-1.61,0.35
80,0.63,-1.47,0.35
81,0.56,-1.54,0.49
82,0.42,-1.68,0.35
83,0.56,-1.54,0.42
84,0.56,-1.61,0.35
85,0.70,-1.47,0.49
86,0.56,-1.54,0.35
87,0.63,-1.61,0.28
88,0.56,-1.54,0.35
89,0.56,-1.47,0.28
90,0.49,-1.54,0.28
91,0.63,-1.47,0.28
92,0.56,-1.54,0.28
93,0.42,-1.61,0.42
94,0.63,-1.61,0.28
95,0.56,-1.47,0.35
96,0.70,-1.54,0.28
97,0.49,-1.47,0.35
98,0.56,-1.61,0.14
99,0.56,-1.54,0.42
100,0.63,-1.54,0.28
101,0.70,-1.54,0.42
102,0.63,-1.61,0.35
103,0.56,-1.47,0.35
104,0.63,-1.54,0.42
105,0.63,-1.54,0.35
106,0.49,-1.47,0.28
107,0.70,-1.54,0.42
108,0.42,-1.61,0.14
109,0.56,-1.61,0.42
110,0.49,-1.54,0.42
111,0.63,-1.40,0.42
112,0.56,-1.40,0.28
113,0.42,-1.68,0.28
114,0.56,-1.54,0.42
115,0.56,-1.47,0.42
116,0.63,-1.47,0.35
117,0.49,-1.68,0.35
118,0.56,-1.54,0.35
119,0.49,-1.68,0.42
120,0.63,-1.54,0.35
121,0.49,-1.54,0.35
122,0.63,-1.47,0.49
123,0.56,-1.68,0.28
124,0.49,-1.61,0.21
125,0.49,-1.54,0.35
126,0.56,-1.54,0.42
127,0.77,-1.47,0.56
128,0.49,-1.54,0.35
129,0.63,-1.61,0.28
130,0.63,-1.54,0.28
131,0.63,-1.47,0.49
132,0.56,-1.54,0.35
133,0.56,-1.54,0.35
134,0.49,-1.61,0.42
135,0.42,-1.61,0.35
136,0.63,-1.54,0.28
137,0.63,-1.47,0.35
138,0.70,-1.47,0.35
139,0.42,-1.61,0.28
140,0.56,-1.54,0.28
141,0.77,-1.54,0.42
142,0.56,-1.47,0.35
143,0.70,-1.54,0.42
144,0.56,-1.54,0.28
145,0.49,-1.61,0.28
146,0.49,-1.47,0.35
147,0.63,-1.61,0.35
148,0.63,-1.61,0.28
149,0.63,-1.47,0.28
150,0.49,-1.54,0.42
151,0.56,-1.54,0.42
152,0.63,-1.47,0.42
