Time,x,y,z
1,0.70,-1.54,0.42
2,0.49,-1.61,0.28
3,0.49,-1.61,0.35
4,0.56,-1.61,0.21
5,0.56,-1.54,0.42
6,0.49,-1.61,0.21
7,0.63,-1.61,0.28
8,0.56,-1.47,0.28
9,0.42,-1.54,0.28
10,0.56,-1.54,0.35
11,0.42,-1.54,0.35
12,0.56,-1.54,0.35
13,0.49,-1.61,0.28
14,0.56,-1.54,0.35
15,0.63,-1.54,0.28
16,0.56,-1.54,0.35
17,0.63,-1.54,0.28
18,0.49,-1.61,0.28
19,0.63,-1.61,0.49
20,0.49,-1.54,0.35
21,0.49,-1.61,0.42
22,0.56,-1.47,0.35
23,0.63,-1.40,0.49
24,0.49,-1.54,0.28
25,0.56,-1.54,0.35
26,0.63,-1.54,0.42
27,0.56,-1.40,0.49
28,0.56,-1.47,0.42
29,0.49,-1.68,0.21
30,0.56,-1.40,0.49
31,0.63,-1.47,0.42
32,0.77,-1.47,0.49
33,0.63,-1.47,0.49
34,0.77,-1.54,0.49
35,0.56,-1.61,0.35
36,0.63,-1.47,0.35
37,0.63,-1.61,0.35
38,0.70,-1.54,0.49
39,0.70,-1.61,0.42
40,0.56,-1.75,0.35
41,0.63,-1.61,0.28
42,0.56,-1.54,0.49
43,0.70,-1.47,0.42
44,0.63,-1.54,0.35
45,0.49,-1.54,0.21
46,0.49,-1.54,0.35
47,0.56,-1.61,0.35
48,0.42,-1.54,0.28
49,0.56,-1.61,0.35
50,0.56,-1.54,0.42
51,0.42,-1.61,0.14
52,0.56,-1.54,0.14
53,0.49,-1.61,0.28
54,0.63,-1.54,0.42
55,0.49,-1.54,0.28
56,0.56,-1.61,0.28
57,0.56,-1.61,0.35
58,0.63,-1.54,0.42
59,0.70,-1.47,0.28
60,0.49,-1.61,0.28
61,0.70,-1.47,0.28
62,0.56,-1.68,0.28
63,0.70,-1.54,0.28
64,0.56,-1.47,0.28
65,0.70,-1.47,0.35
66,0.42,-1.54,0.28
67,0.63,-1.61,0.21
68,0.56,-1.61,0.35
69,0.63,-1.54,0.35
70,0.56,-1.47,0.35
71,0.42,-1.54,0.28
72,0.56,-1.68,0.28
73,0.56,-1.47,0.28
74,0.63,-1.47,0.42
75,0.49,-1.54,0.28
76,0.42,-1.61,0.35
77,0.49,-1.47,0.35
78,0.56,-1.54,0.42
79,0.49,-1.47,0.35
80,0.56,-1.47,0.42
81,0.63,-1.40,0.49
82,0.42,-1.54,0.28
83,0.42,-1.54,0.35
84,0.56,-1.47,0.56
85,0.70,-1.47,0.35
86,0.49,-1.54,0.42
87,0.42,-1.54,0.28
88,0.56,-1.54,0.42
89,0.56,-1.47,0.42
90,0.63,-1.47,0.35
91,0.56,-1.61,0.28
92,0.77,-1.40,0.35
93,0.70,-1.47,0.35
94,0.77,-1.54,0.42
95,0.63,-1.61,0.28
96,0.70,-1.47,0.49
97,0.63,-1.47,0.28
98,0.56,-1.68,0.35
99,0.63,-1.54,0.35
100,0.63,-1.61,0.42
101,0.63,-1.54,0.42
102,0.49,-1.61,0.28
103,0.63,-1.54,0.35
104,0.56,-1.54,0.35
105,0.63,-1.47,0.42
106,0.49,-1.54,0.28
107,0.63,-1.47,0.42
108,0.49,-1.54,0.35
109,0.49,-1.61,0.21
110,0.56,-1.47,0.35
111,0.56,-1.54,0.35
112,0.56,-1.54,0.42
113,0.42,-1.68,0.28
114,0.56,-1.54,0.21
115,0.63,-1.61,0.42
116,0.63,-1.54,0.35
117,0.63,-1.68,0.35
118,0.49,-1.75,0.35
119,0.63,-1.68,0.42
120,0.56,-1.61,0.35
121,0.56,-1.61,0.28
122,0.63,-1.61,0.35
123,0.63,-1.54,0.28
124,0.42,-1.54,0.28
125,0.56,-1.61,0.42
126,0.56,-1.61,0.35
127,0.63,-1.47,0.42
128,0.56,-1.54,0.14
129,0.49,-1.61,0.35
130,0.56,-1.54,0.28
131,0.56,-1.54,0.35
132,0.63,-1.40,0.49
133,0.49,-1.61,0.21
134,0.63,-1.47,0.42
135,0.56,-1.68,0.28
136,0.56,-1.68,0.35
137,0.56,-1.54,0.49
138,0.70,-1.54,0.35
139,0.49,-1.54,0.35
140,0.49,-1.47,0.28
141,0.56,-1.40,0.35
142,0.56,-1.47,0.35
143,0.70,-1.47,0.42
144,0.42,-1.61,0.28
145,0.49,-1.54,0.35
146,0.42,-1.54,0.35
147,0.56,-1.40,0.42
148,0.49,-1.54,0.42
149,0.63,-1.54,0.35
150,0.49,-1.47,0.35
151,0.56,-1.68,0.28
152,0.63,-1.40,0.35
153,0.63,-1.47,0.35
154,0.63,-1.54,0.42
155,0.49,-1.61,0.35
156,0.70,-1.61,0.28
157,0.49,-1.61,0.42
158,0.63,-1.47,0.42
159,0.49,-1.54,0.42
160,0.56,-1.61,0.28
161,0.70,-1.54,0.35
162,0.70,-1.61,0.28
163,0.70,-1.75,0.28
164,0.63,-1.54,0.35
165,0.70,-1.54,0.42
166,0.56,-1.68,0.35
167,0.63,-1.61,0.42
168,0.56,-1.47,0.28
169,0.63,-1.54,0.42
170,0.49,-1.54,0.35
171,0.42,-1.54,0.35
172,0.49,-1.47,0.35
173,0.49,-1.40,0.35
174,0.56,-1.54,0.35
175,0.56,-1.47,0.35
176,0.63,-1.40,0.42
177,0.49,-1.61,0.28
178,0.56,-1.47,0.28
179,0.56,-1.54,0.42
180,0.56,-1.54,0.28
181,0.56,-1.54,0.28
182,0.56,-1.68,0.35
183,0.63,-1.54,0.35
184,0.56,-1.47,0.35
185,0.70,-1.47,0.49
186,0.56,-1.61,0.21
187,0.56,-1.61,0.28
188,0.56,-1.47,0.28
189,0.63,-1.54,0.28
190,0.49,-1.54,0.35
191,0.63,-1.54,0.35
192,0.56,-1.54,0.35
193,0.56,-1.61,0.28
194,0.49,-1.47,0.35
195,0.56,-1.47,0.56
196,0.63,-1.47,0.35
197,0.42,-1.68,0.28
198,0.49,-1.54,0.42
199,0.42,-1.54,0.28
200,0.63,-1.40,0.49
201,0.49,-1.47,0.21
202,0.49,-1.61,0.35
203,0.49,-1.47,0.35
204,0.56,-1.33,0.42
205,0.56,-1.54,0.42
206,0.42,-1.40,0.42
207,0.56,-1.40,0.42
208,0.42,-1.61,0.21
209,0.49,-1.54,0.42
210,0.35,-1.40,0.35
211,0.56,-1.47,0.35
212,0.42,-1.47,0.35
213,0.42,-1.61,0.28
214,0.56,-1.47,0.35
215,0.56,-1.47,0.49
216,0.70,-1.54,0.49
217,0.56,-1.54,0.49
218,0.70,-1.40,0.42
219,0.49,-1.61,0.42
220,0.63,-1.54,0.35
221,0.70,-1.68,0.35
222,0.70,-1.54,0.35
223,0.63,-1.61,0.35
224,0.56,-1.68,0.42
225,0.63,-1.54,0.42
226,0.63,-1.47,0.42
227,0.70,-1.47,0.35
228,0.56,-1.54,0.21
229,0.63,-1.47,0.35
230,0.49,-1.61,0.28
231,0.56,-1.54,0.21
232,0.42,-1.68,0.21
233,0.63,-1.61,0.28
234,0.56,-1.47,0.21
235,0.56,-1.61,0.35
236,0.63,-1.61,0.35
237,0.63,-1.54,0.35
238,0.70,-1.47,0.35
239,0.49,-1.68,0.28
240,0.49,-1.61,0.21
241,0.63,-1.68,0.35
242,0.70,-1.47,0.42
243,0.49,-1.61,0.35
244,0.56,-1.61,0.21
245,0.49,-1.54,0.28
246,0.56,-1.54,0.35
247,0.49,-1.47,0.35
248,0.56,-1.47,0.35
249,0.63,-1.47,0.28
250,0.35,-1.68,0.21
251,0.56,-1.61,0.28
252,0.56,-1.54,0.28
253,0.63,-1.47,0.35
254,0.49,-1.61,0.28
255,0.49,-1.61,0.28
256,0.42,-1.54,0.28
257,0.49,-1.54,0.35
258,0.63,-1.54,0.49
259,0.49,-1.61,0.35
260,0.63,-1.54,0.42
261,0.63,-1.40,0.49
262,0.56,-1.47,0.35
263,0.70,-1.54,0.42
264,0.56,-1.61,0.28
265,0.70,-1.40,0.28
266,0.49,-1.68,0.21
267,0.63,-1.61,0.28
268,0.49,-1.61,0.35
269,0.56,-1.54,0.49
270,0.49,-1.54,0.28
271,0.49,-1.54,0.35
272,0.49,-1.47,0.49
273,0.63,-1.47,0.42
274,0.63,-1.40,0.42
275,0.49,-1.61,0.35
276,0.63,-1.61,0.35
277,0.56,-1.40,0.42
278,0.70,-1.40,0.49
279,0.56,-1.54,0.28
280,0.63,-1.47,0.42
281,0.63,-1.54,0.42
282,0.70,-1.54,0.49
283,0.70,-1.47,0.28
284,0.70,-1.47,0.49
285,0.70,-1.61,0.35
286,0.49,-1.68,0.35
287,0.70,-1.61,0.35
288,0.70,-1.47,0.35
289,0.70,-1.47,0.56
290,0.56,-1.54,0.28
291,0.49,-1.68,0.21
292,0.49,-1.54,0.21
293,0.56,-1.61,0.35
294,0.49,-1.61,0.35
295,0.56,-1.54,0.35
296,0.49,-1.47,0.28
297,0.42,-1.54,0.21
298,0.49,-1.54,0.35
299,0.49,-1.61,0.28
300,0.70,-1.47,0.42
301,0.49,-1.54,0.28
302,0.56,-1.68,0.35
303,0.49,-1.47,0.35
304,0.63,-1.47,0.42
305,0.70,-1.54,0.35
306,0.49,-1.68,0.21
307,0.56,-1.68,0.21
308,0.63,-1.54,0.21
309,0.63,-1.47,0.49
310,0.49,-1.54,0.42
311,0.56,-1.68,0.28
312,0.56,-1.61,0.28
313,0.56,-1.54,0.42
314,0.63,-1.54,0.35
315,0.49,-1.40,0.35
316,0.56,-1.61,0.35
317,0.35,-1.61,0.28
318,0.49,-1.54,0.35
319,0.49,-1.54,0.35
320,0.63,-1.47,0.35
321,0.56,-1.61,0.35
322,0.49,-1.61,0.35
323,0.56,-1.47,0.35
324,0.56,-1.54,0.42
325,0.77,-1.47,0.49
326,0.56,-1.61,0.14
327,0.70,-1.61,0.42
328,0.63,-1.47,0.28
329,0.63,-1.47,0.35
330,0.49,-1.54,0.42
331,0.49,-1.47,0.49
332,0.56,-1.40,0.49
333,0.49,-1.54,0.28
334,0.56,-1.47,0.49
335,0.49,-1.47,0.35
336,0.63,-1.54,0.42
337,0.56,-1.47,0.35
338,0.49,-1.61,0.35
339,0.49,-1.61,0.42
340,0.63,-1.40,0.42
341,0.49,-1.54,0.35
342,0.63,-1.54,0.35
343,0.70,-1.47,0.35
344,0.56,-1.54,0.21
345,0.63,-1.61,0.28
346,0.56,-1.61,0.35
347,0.63,-1.61,0.35
348,0.63,-1.68,0.28
349,0.42,-1.61,0.42
350,0.63,-1.47,0.35
351,0.49,-1.47,0.42
352,0.77,-1.47,0.42
353,0.56,-1.54,0.28
354,0.63,-1.54,0.42
355,0.63,-1.54,0.28
356,0.63,-1.54,0.42
357,0.56,-1.61,0.28
358,0.63,-1.54,0.28
359,0.56,-1.54,0.28
360,0.49,-1.47,0.28
361,0.49,-1.54,0.21
362,0.49,-1.47,0.42
363,0.70,-1.47,0.49
364,0.42,-1.54,0.28
365,0.56,-1.61,0.35
366,0.49,-1.54,0.21
367,0.56,-1.54,0.35
368,0.63,-1.47,0.21
369,0.49,-1.61,0.14
370,0.63,-1.54,0.35
371,0.56,-1.54,0.28
372,0.70,-1.61,0.42
373,0.56,-1.61,0.35
374,0.49,-1.61,0.21
375,0.56,-1.54,0.35
376,0.70,-1.54,0.35
377,0.63,-1.61,0.21
378,0.56,-1.47,0.49
379,0.56,-1.54,0.35
380,0.42,-1.68,0.35
381,0.49,-1.54,0.35
382,0.56,-1.54,0.42
383,0.70,-1.54,0.35
384,0.49,-1.61,0.35
385,0.49,-1.61,0.28
386,0.63,-1.54,0.28
387,0.56,-1.54,0.35
388,0.70,-1.54,0.42
389,0.63,-1.54,0.28
390,0.56,-1.54,0.42
391,0.42,-1.54,0.42
392,0.56,-1.40,0.49
393,0.63,-1.54,0.42
394,0.70,-1.40,0.49
395,0.49,-1.68,0.35
396,0.56,-1.54,0.35
397,0.56,-1.54,0.28
398,0.56,-1.47,0.49
399,0.49,-1.47,0.28
400,0.49,-1.54,0.35
401,0.63,-1.61,0.42
402,0.49,-1.54,0.49
403,0.63,-1.61,0.63
404,0.56,-1.54,0.35
405,0.63,-1.47,0.42
406,0.56,-1.47,0.35
407,0.63,-1.61,0.28
408,0.70,-1.47,0.42
409,0.70,-1.54,0.35
410,0.70,-1.47,0.35
411,0.63,-1.54,0.42
412,0.70,-1.61,0.35
413,0.70,-1.61,0.42
414,0.70,-1.40,0.42
415,0.63,-1.61,0.35
416,0.49,-1.61,0.28
417,0.56,-1.61,0.42
418,0.63,-1.54,0.42
419,0.63,-1.40,0.35
420,0.56,-1.47,0.42
421,0.56,-1.54,0.42
422,0.42,-1.61,0.28
423,0.49,-1.54,0.42
424,0.49,-1.54,0.49
425,0.49,-1.54,0.35
426,0.42,-1.54,0.21
