Time,x,y,z
1,0.42,-1.54,0.28
2,0.56,-1.54,0.42
3,0.63,-1.47,0.35
4,0.49,-1.61,0.28
5,0.63,-1.61,0.35
6,0.63,-1.61,0.42
7,0.77,-1.54,0.42
8,0.49,-1.61,0.35
9,0.49,-1.61,0.35
10,0.56,-1.54,0.42
11,0.56,-1.54,0.28
12,0.63,-1.47,0.35
13,0.49,-1.68,0.28
14,0.56,-1.54,0.35
15,0.49,-1.54,0.28
16,0.56,-1.61,0.28
17,0.49,-1.54,0.35
18,0.70,-1.54,0.49
19,0.63,-1.61,0.28
20,0.49,-1.68,0.35
21,0.63,-1.61,0.28
22,0.56,-1.54,0.42
23,0.70,-1.54,0.35
24,0.42,-1.61,0.21
25,0.56,-1.61,0.35
26,0.56,-1.54,0.42
27,0.63,-1.54,0.49
28,0.49,-1.61,0.35
29,0.56,-1.54,0.35
30,0.70,-1.40,0.28
31,0.56,-1.68,0.28
32,0.63,-1.61,0.21
33,0.56,-1.40,0.42
34,0.63,-1.47,0.35
35,0.42,-1.54,0.21
36,0.63,-1.61,0.35
37,0.56,-1.61,0.28
38,0.63,-1.47,0.42
39,0.56,-1.47,0.28
40,0.42,-1.61,0.28
41,0.56,-1.54,0.28
42,0.49,-1.68,0.35
43,0.56,-1.54,0.35
44,0.56,-1.61,0.42
45,0.70,-1.54,0.42
46,0.56,-1.61,0.28
47,0.49,-1.68,0.28
48,0.56,-1.54,0.35
49,0.63,-1.40,0.42
50,0.63,-1.61,0.35
51,0.35,-1.61,0.21
52,0.56,-1.54,0.35
53,0.56,-1.61,0.28
54,0.70,-1.47,0.49
55,0.56,-1.68,0.35
56,0.63,-1.61,0.35
57,0.63,-1.61,0.28
58,0.63,-1.68,0.42
59,0.56,-1.61,0.35
60,0.70,-1.54,0.35
61,0.63,-1.54,0.42
62,0.49,-1.68,0.28
63,0.63,-1.54,0.21
64,0.56,-1.54,0.42
65,0.70,-1.40,0.42
66,0.49,-1.61,0.35
67,0.49,-1.75,0.28
68,0.63,-1.68,0.28
69,0.63,-1.54,0.42
70,0.56,-1.54,0.35
71,0.63,-1.47,0.35
72,0.70,-1.54,0.35
73,0.42,-1.68,0.28
74,0.56,-1.61,0.35
75,0.49,-1.61,0.35
76,0.63,-1.54,0.35
77,0.49,-1.47,0.28
78,0.49,-1.61,0.35
79,0.56,-1.54,0.35
80,0.70,-1.47,0.35
81,0.70,-1.40,0.35
82,0.42,-1.54,0.35
83,0.42,-1.54,0.35
84,0.49,-1.54,0.35
85,0.56,-1.54,0.35
86,0.56,-1.54,0.28
87,0.63,-1.54,0.28
88,0.49,-1.54,0.35
89,0.56,-1.61,0.21
90,0.49,-1.54,0.42
91,0.49,-1.54,0.42
92,0.70,-1.47,0.49
93,0.49,-1.61,0.28
94,0.63,-1.61,0.42
95,0.49,-1.54,0.35
96,0.63,-1.40,0.35
