Time,x,y,z
1,0.42,-1.75,0.28
2,0.49,-1.61,0.28
3,0.56,-1.54,0.28
4,0.56,-1.54,0.49
5,0.56,-1.61,0.28
6,0.42,-1.75,0.28
7,0.56,-1.54,0.35
8,0.49,-1.54,0.35
9,0.56,-1.40,0.35
10,0.49,-1.61,0.07
11,0.49,-1.61,0.28
12,0.49,-1.61,0.35
13,0.49,-1.54,0.42
14,0.63,-1.54,0.28
15,0.56,-1.61,0.21
16,0.63,-1.47,0.42
17,0.35,-1.68,0.42
18,0.56,-1.54,0.35
19,0.56,-1.54,0.42
20,0.70,-1.54,0.42
21,0.56,-1.61,0.35
22,0.49,-1.61,0.28
23,0.49,-1.61,0.35
24,0.56,-1.54,0.42
25,0.56,-1.47,0.35
26,0.63,-1.68,0.21
27,0.63,-1.47,0.42
28,0.49,-1.54,0.21
29,0.63,-1.54,0.42
30,0.49,-1.54,0.35
31,0.70,-1.47,0.42
32,0.56,-1.54,0.28
33,0.63,-1.68,0.35
34,0.56,-1.61,0.35
35,0.63,-1.54,0.35
36,0.63,-1.47,0.35
37,0.49,-1.68,0.28
38,0.56,-1.54,0.35
39,0.56,-1.54,0.35
40,0.63,-1.47,0.42
41,0.42,-1.61,0.21
42,0.56,-1.61,0.35
43,0.49,-1.40,0.28
44,0.56,-1.61,0.35
45,0.49,-1.61,0.35
46,0.56,-1.47,0.35
47,0.56,-1.54,0.42
48,0.42,-1.61,0.21
49,0.56,-1.61,0.35
50,0.56,-1.47,0.28
51,0.70,-1.47,0.42
52,0.63,-1.61,0.35
53,0.49,-1.61,0.21
54,0.56,-1.54,0.35
55,0.56,-1.61,0.28
56,0.63,-1.68,0.28
57,0.56,-1.61,0.28
58,0.63,-1.54,0.42
59,0.49,-1.61,0.28
60,0.56,-1.54,0.28
61,0.63,-1.47,0.35
62,0.70,-1.47,0.49
63,0.63,-1.61,0.35
64,0.42,-1.61,0.35
65,0.56,-1.61,0.42
66,0.56,-1.54,0.35
67,0.63,-1.47,0.49
68,0.63,-1.54,0.42
69,0.42,-1.68,0.28
70,0.56,-1.47,0.35
71,0.56,-1.68,0.42
72,0.63,-1.54,0.28
73,0.49,-1.61,0.42
74,0.70,-1.47,0.42
75,0.49,-1.68,0.28
76,0.49,-1.54,0.35
77,0.56,-1.54,0.42
