Time,x,y,z
1,0.49,-1.61,0.35
2,0.63,-1.54,0.42
3,0.49,-1.68,0.28
4,0.56,-1.68,0.42
5,0.56,-1.61,0.35
6,0.56,-1.54,0.56
7,0.70,-1.54,0.42
8,0.49,-1.68,0.21
9,0.56,-1.61,0.42
10,0.49,-1.54,0.28
11,0.63,-1.54,0.42
12,0.49,-1.61,0.35
13,0.49,-1.61,0.28
14,0.49,-1.61,0.35
15,0.42,-1.68,0.28
16,0.49,-1.61,0.28
17,0.63,-1.47,0.35
18,0.70,-1.54,0.28
19,0.49,-1.68,0.21
20,0.49,-1.54,0.35
21,0.49,-1.54,0.28
22,0.63,-1.54,0.42
23,0.56,-1.54,0.35
24,0.56,-1.61,0.35
25,0.56,-1.54,0.28
26,0.49,-1.47,0.42
27,0.56,-1.54,0.35
28,0.42,-1.47,0.35
29,0.70,-1.47,0.56
30,0.49,-1.61,0.28
31,0.56,-1.61,0.35
32,0.49,-1.40,0.35
33,0.63,-1.47,0.42
34,0.56,-1.54,0.35
35,0.42,-1.68,0.35
36,0.49,-1.54,0.42
37,0.56,-1.54,0.35
38,0.49,-1.54,0.42
39,0.56,-1.54,0.42
40,0.63,-1.54,0.35
41,0.49,-1.54,0.28
42,0.56,-1.54,0.28
43,0.56,-1.47,0.28
44,0.63,-1.47,0.42
45,0.70,-1.47,0.42
46,0.42,-1.61,0.35
47,0.56,-1.61,0.28
48,0.49,-1.47,0.35
49,0.77,-1.54,0.56
50,0.63,-1.61,0.42
51,0.35,-1.68,0.28
52,0.56,-1.54,0.35
53,0.49,-1.61,0.42
54,0.63,-1.61,0.28
55,0.63,-1.54,0.35
56,0.70,-1.47,0.35
57,0.49,-1.61,0.21
58,0.42,-1.61,0.35
59,0.56,-1.54,0.35
60,0.63,-1.61,0.49
61,0.56,-1.61,0.28
62,0.42,-1.68,0.35
63,0.56,-1.61,0.35
64,0.49,-1.47,0.35
65,0.63,-1.47,0.49
66,0.63,-1.54,0.28
67,0.70,-1.47,0.42
68,0.56,-1.61,0.21
69,0.56,-1.54,0.35
70,0.49,-1.54,0.56
71,0.70,-1.54,0.49
72,0.63,-1.61,0.35
73,0.49,-1.61,0.28
74,0.49,-1.61,0.35
75,0.56,-1.54,0.35
76,0.63,-1.47,0.35
77,0.63,-1.61,0.42
78,0.49,-1.68,0.28
79,0.56,-1.54,0.42
80,0.63,-1.54,0.42
81,0.49,-1.61,0.28
82,0.63,-1.61,0.35
83,0.56,-1.54,0.35
84,0.42,-1.68,0.28
85,0.49,-1.54,0.35
86,0.56,-1.54,0.42
87,0.70,-1.54,0.35
88,0.49,-1.54,0.28
89,0.49,-1.61,0.21
90,0.56,-1.61,0.42
91,0.56,-1.54,0.28
92,0.70,-1.54,0.28
93,0.49,-1.54,0.21
94,0.56,-1.54,0.42
95,0.42,-1.68,0.35
96,0.49,-1.61,0.35
97,0.56,-1.47,0.35
98,0.63,-1.54,0.49
99,0.49,-1.61,0.28
100,0.56,-1.54,0.35
101,0.56,-1.61,0.35
102,0.49,-1.40,0.35
