Time,x,y,z
1,1.05,-1.47,0.35
2,0.49,-2.10,0.35
3,0.91,-1.61,0.28
4,1.05,-1.96,0.35
5,0.91,-1.33,0.28
6,0.35,-1.47,0.28
7,0.42,-1.12,0.21
8,0.14,-1.33,0.42
9,0.56,-1.12,0.42
10,0.07,-1.54,0.35
11,0.35,-1.40,0.42
12,0.42,-1.54,0.42
13,0.84,-1.75,0.35
14,0.91,-1.75,0.42
15,1.05,-1.89,0.28
16,0.98,-1.68,0.21
17,0.56,-1.75,0.07
18,0.70,-1.61,0.35
19,0.35,-1.47,0.49
20,0.28,-1.19,0.49
21,0.21,-1.26,0.35
22,0.07,-1.33,0.28
23,0.42,-1.40,0.28
24,0.63,-1.47,0.28
25,0.84,-1.47,0.35
26,0.70,-1.75,0.28
27,0.77,-1.75,0.35
28,0.77,-1.75,0.35
29,0.84,-1.82,0.35
30,0.56,-1.61,0.35
31,0.49,-1.47,0.49
32,0.42,-1.40,0.14
33,0.28,-1.40,0.42
34,0.35,-1.33,0.14
35,0.42,-1.33,0.49
36,0.49,-1.47,0.42
37,0.42,-1.47,0.28
38,0.63,-1.68,0.42
39,0.70,-1.61,0.35
40,0.91,-1.68,0.42
41,5.39,-1.05,0.63
42,-0.84,-3.71,0.14
43,-1.89,-1.33,0.21
44,-1.75,-3.50,0.35
45,17.71,-0.98,0.14
46,-0.56,-1.33,0.21
47,1.33,-0.56,0.49
48,-1.68,-1.68,0.07
49,-0.49,-0.56,0.42
50,-0.56,-1.19,0.21
51,0.35,-0.91,0.49
52,0.28,-1.75,0.49
53,0.21,-2.03,0.35
54,0.98,-1.96,0.35
55,0.98,-1.61,0.49
56,0.98,-1.68,0.49
57,0.91,-1.96,0.49
58,0.70,-1.75,0.35
59,0.91,-1.68,0.28
60,0.35,-1.40,0.28
61,0.00,-1.33,0.21
62,0.07,-1.26,0.42
63,0.28,-1.33,0.42
64,0.14,-1.33,0.49
65,0.35,-1.26,0.35
66,0.56,-1.61,0.35
67,0.84,-1.82,0.42
68,0.98,-2.10,0.28
69,0.98,-2.03,0.14
70,0.84,-1.61,0.21
71,0.63,-1.68,0.28
72,0.42,-1.54,0.35
73,0.35,-1.33,0.42
74,0.28,-1.19,0.49
75,0.00,-1.33,0.35
76,0.28,-1.40,0.35
77,0.56,-1.54,0.42
78,0.70,-1.61,0.35
79,0.77,-1.75,0.35
80,0.84,-1.68,0.14
81,0.91,-1.68,0.42
82,0.91,-1.75,0.49
83,0.77,-1.54,0.42
84,0.35,-1.75,0.35
85,0.42,-1.47,0.49
86,0.21,-1.54,0.21
87,0.28,-1.40,0.35
88,0.35,-1.33,0.28
89,0.49,-1.26,0.42
90,0.49,-1.40,0.42
91,0.70,-1.68,0.42
92,0.77,-1.75,0.49
93,0.77,-1.68,0.42
94,0.77,-1.82,0.42
95,0.63,-1.82,0.28
96,0.70,-0.63,0.42
97,4.06,-2.17,0.00
98,-3.50,-0.84,0.42
99,1.19,-2.73,0.77
100,-1.19,-1.68,0.35
101,-1.75,-2.17,0.49
102,-1.75,15.89,0.35
103,-0.42,-1.75,0.42
104,-0.84,-0.21,0.42
105,-0.63,-1.05,0.28
106,0.21,-0.98,0.42
107,0.84,-1.19,0.42
108,0.42,-1.75,0.42
109,0.70,-1.61,0.70
110,0.63,-1.61,0.42
111,0.42,-1.82,0.35
112,0.77,-1.75,0.28
113,0.84,-1.89,0.35
114,0.49,-1.61,0.21
115,0.14,-1.54,0.07
116,0.49,-1.12,0.42
117,0.14,-1.40,0.28
118,0.42,-1.40,0.42
119,0.21,-1.68,0.49
120,0.42,-1.40,0.56
121,0.49,-1.47,0.42
122,0.70,-1.89,0.28
123,0.84,-1.89,0.21
124,0.84,-1.68,0.21
125,0.84,-1.54,0.28
126,0.56,-1.40,0.28
127,0.35,-1.54,0.35
128,0.49,-1.47,0.28
129,0.21,-1.33,0.42
130,0.35,-1.33,0.35
131,0.28,-1.47,0.28
132,0.63,-1.54,0.35
133,0.56,-1.61,0.14
134,0.77,-1.61,0.35
135,0.70,-1.54,0.28
136,0.84,-1.68,0.42
137,0.84,-1.75,0.42
138,0.42,-1.82,0.42
139,0.49,-1.61,0.42
140,0.35,-1.54,0.35
141,0.49,-1.47,0.21
142,0.28,-1.47,0.21
143,0.42,-1.40,0.35
144,0.35,-1.33,0.28
145,0.56,-1.54,0.42
146,0.77,-1.68,0.42
147,0.70,-1.75,0.42
148,0.77,-1.82,0.42
149,0.56,-1.68,0.21
150,0.70,-1.68,0.21
151,0.49,-1.54,0.42
152,0.56,-1.47,0.28
153,0.35,-1.33,0.35
154,0.21,-1.40,0.35
155,0.42,-1.33,0.35
156,0.56,-1.61,0.49
157,0.63,-1.61,0.42
158,0.49,-1.75,0.21
