Time,x,y,z
1,0.63,-1.61,0.49
2,0.49,-1.61,0.35
3,0.49,-1.68,0.42
4,0.56,-1.61,0.35
5,0.49,-1.54,0.35
6,0.70,-1.47,0.42
7,0.49,-1.61,0.28
8,0.63,-1.68,0.35
9,0.49,-1.54,0.35
10,0.56,-1.54,0.49
11,0.56,-1.61,0.42
12,0.63,-1.61,0.42
13,0.56,-1.54,0.28
14,0.56,-1.47,0.42
15,0.63,-1.54,0.28
16,0.56,-1.47,0.42
17,0.63,-1.54,0.35
18,0.49,-1.68,0.14
19,0.56,-1.54,0.28
20,0.56,-1.54,0.35
21,0.56,-1.47,0.42
22,0.63,-1.40,0.49
23,0.56,-1.61,0.28
24,0.63,-1.54,0.35
25,0.49,-1.47,0.35
26,0.42,-1.54,0.28
27,0.49,-1.47,0.35
28,0.63,-1.47,0.35
29,0.42,-1.54,0.28
30,0.63,-1.54,0.35
31,0.49,-1.54,0.28
32,0.56,-1.61,0.56
33,0.56,-1.47,0.28
34,0.35,-1.68,0.28
35,0.56,-1.54,0.21
36,0.49,-1.47,0.35
37,0.63,-1.54,0.49
38,0.42,-1.54,0.35
39,0.56,-1.61,0.28
40,0.49,-1.54,0.35
41,0.56,-1.61,0.42
42,0.56,-1.61,0.35
43,0.56,-1.54,0.42
44,0.56,-1.68,0.21
45,0.42,-1.75,0.28
46,0.56,-1.68,0.35
47,0.63,-1.54,0.35
48,0.63,-1.47,0.56
49,0.49,-1.68,0.21
50,0.56,-1.61,0.28
51,0.42,-1.54,0.35
52,0.63,-1.54,0.42
53,0.56,-1.61,0.28
54,0.63,-1.54,0.42
55,0.56,-1.54,0.42
56,0.49,-1.54,0.28
57,0.63,-1.61,0.35
58,0.56,-1.54,0.28
59,0.63,-1.40,0.42
60,0.56,-1.54,0.28
61,0.56,-1.54,0.35
62,0.49,-1.68,0.42
63,0.63,-1.47,0.35
64,0.56,-1.47,0.42
65,0.42,-1.61,0.21
66,0.56,-1.54,0.28
67,0.56,-1.61,0.28
68,0.56,-1.61,0.42
69,0.49,-1.61,0.35
70,0.63,-1.54,0.35
71,0.49,-1.54,0.28
72,0.56,-1.61,0.28
73,0.56,-1.54,0.28
74,0.63,-1.47,0.35
75,0.63,-1.47,0.42
76,0.49,-1.68,0.28
77,0.49,-1.61,0.35
78,0.63,-1.54,0.35
79,0.63,-1.54,0.49
80,0.49,-1.54,0.28
81,0.63,-1.47,0.42
82,0.49,-1.54,0.28
83,0.63,-1.54,0.35
84,0.56,-1.54,0.35
