Time,x,y,z
1,0.49,-1.61,0.21
2,0.70,-1.47,0.42
3,0.49,-1.61,0.35
4,0.56,-1.68,0.42
5,0.56,-1.54,0.42
6,0.56,-1.47,0.28
7,0.56,-1.47,0.42
8,0.63,-1.61,0.35
9,0.63,-1.54,0.28
10,0.63,-1.54,0.28
11,0.56,-1.54,0.35
12,0.63,-1.54,0.35
13,0.70,-1.40,0.42
14,0.49,-1.54,0.28
15,0.56,-1.54,0.35
16,0.56,-1.54,0.35
17,0.63,-1.54,0.56
18,0.63,-1.54,0.35
19,0.49,-1.54,0.28
20,0.56,-1.61,0.35
21,0.42,-1.47,0.35
22,0.56,-1.47,0.49
23,0.49,-1.47,0.21
24,0.63,-1.54,0.35
25,0.49,-1.54,0.42
26,0.56,-1.54,0.28
27,0.63,-1.61,0.28
28,0.63,-1.47,0.49
29,0.63,-1.61,0.21
30,0.42,-1.68,0.21
31,0.56,-1.54,0.28
32,0.63,-1.61,0.42
33,0.77,-1.47,0.49
34,0.56,-1.54,0.21
35,0.56,-1.54,0.21
36,0.56,-1.54,0.28
37,0.56,-1.47,0.42
38,0.63,-1.47,0.28
39,0.56,-1.54,0.35
40,0.63,-1.47,0.42
41,0.42,-1.61,0.21
42,0.56,-1.68,0.42
43,0.56,-1.54,0.35
44,0.77,-1.47,0.42
45,0.56,-1.61,0.35
46,0.49,-1.61,0.35
47,0.49,-1.61,0.28
48,0.63,-1.54,0.28
49,0.56,-1.47,0.42
50,0.42,-1.68,0.28
51,0.56,-1.54,0.42
52,0.63,-1.54,0.35
53,0.56,-1.61,0.28
54,0.56,-1.54,0.21
55,0.70,-1.47,0.49
56,0.56,-1.47,0.35
57,0.49,-1.54,0.28
58,0.56,-1.61,0.35
59,0.63,-1.40,0.42
60,0.77,-1.47,0.56
61,0.49,-1.47,0.28
62,0.63,-1.54,0.42
63,0.56,-1.61,0.42
64,0.63,-1.47,0.42
65,0.56,-1.61,0.28
66,0.63,-1.47,0.42
67,0.56,-1.47,0.28
68,0.56,-1.61,0.42
69,0.56,-1.54,0.42
70,0.63,-1.54,0.35
71,0.70,-1.47,0.42
72,0.42,-1.61,0.21
73,0.56,-1.54,0.35
74,0.56,-1.61,0.42
75,0.63,-1.40,0.42
76,0.56,-1.54,0.35
77,0.42,-1.61,0.21
78,0.63,-1.61,0.42
79,0.56,-1.47,0.42
80,0.56,-1.61,0.35
81,0.63,-1.54,0.35
82,0.56,-1.61,0.35
83,0.42,-1.61,0.21
84,0.56,-1.61,0.35
85,0.56,-1.61,0.42
86,0.70,-1.40,0.35
87,0.56,-1.61,0.35
88,0.49,-1.68,0.42
89,0.63,-1.61,0.28
90,0.49,-1.47,0.35
91,0.63,-1.54,0.35
92,0.49,-1.68,0.21
93,0.56,-1.54,0.28
94,0.49,-1.61,0.28
95,0.56,-1.61,0.42
96,0.56,-1.54,0.28
97,0.63,-1.54,0.42
98,0.63,-1.47,0.49
99,0.49,-1.54,0.35
100,0.56,-1.54,0.28
101,0.56,-1.54,0.42
102,0.63,-1.54,0.35
103,0.49,-1.54,0.35
104,0.49,-1.61,0.42
105,0.70,-1.47,0.42
106,0.63,-1.54,0.49
107,0.63,-1.54,0.28
108,0.49,-1.54,0.28
109,0.56,-1.61,0.35
110,0.49,-1.47,0.35
111,0.42,-1.54,0.49
112,0.49,-1.47,0.28
113,0.56,-1.54,0.42
114,0.49,-1.47,0.21
115,0.49,-1.68,0.28
116,0.56,-1.54,0.42
117,0.56,-1.47,0.28
118,0.63,-1.54,0.35
119,0.42,-1.61,0.21
120,0.63,-1.54,0.21
121,0.49,-1.47,0.35
122,0.70,-1.40,0.42
123,0.56,-1.54,0.21
124,0.42,-1.61,0.14
125,0.63,-1.54,0.35
126,0.56,-1.61,0.28
127,0.63,-1.54,0.42
128,0.49,-1.54,0.28
129,0.70,-1.40,0.49
130,0.49,-1.54,0.28
131,0.56,-1.54,0.49
132,0.56,-1.47,0.35
133,0.70,-1.54,0.56
134,0.56,-1.61,0.35
135,0.49,-1.61,0.21
136,0.70,-1.54,0.35
137,0.63,-1.47,0.35
138,0.70,-1.47,0.49
139,0.49,-1.61,0.42
140,0.63,-1.47,0.42
141,0.49,-1.54,0.28
142,0.63,-1.61,0.35
143,0.56,-1.47,0.28
144,0.70,-1.54,0.42
145,0.56,-1.54,0.35
