Time,x,y,z
1,0.49,-1.61,0.28
2,0.49,-1.54,0.28
3,0.56,-1.54,0.49
4,0.49,-1.54,0.42
5,0.56,-1.61,0.42
6,0.49,-1.54,0.35
7,0.70,-1.47,0.42
8,0.49,-1.61,0.28
9,0.49,-1.61,0.35
10,0.49,-1.40,0.28
11,0.63,-1.47,0.49
12,0.42,-1.68,0.21
13,0.63,-1.61,0.35
14,0.56,-1.47,0.35
15,0.70,-1.61,0.49
16,0.49,-1.61,0.28
17,0.63,-1.61,0.42
18,0.70,-1.54,0.28
19,0.63,-1.54,0.28
20,0.49,-1.61,0.28
21,0.56,-1.54,0.28
22,0.56,-1.61,0.28
23,0.42,-1.54,0.35
24,0.56,-1.61,0.28
25,0.56,-1.54,0.28
26,0.70,-1.54,0.42
27,0.42,-1.54,0.35
28,0.70,-1.61,0.49
29,0.49,-1.54,0.28
30,0.70,-1.61,0.35
31,0.35,-1.68,0.28
32,0.56,-1.61,0.42
33,0.63,-1.40,0.42
34,0.56,-1.54,0.49
35,0.49,-1.68,0.35
36,0.56,-1.47,0.42
37,0.70,-1.54,0.28
38,0.63,-1.61,0.35
39,0.56,-1.68,0.28
40,0.49,-1.54,0.28
41,0.56,-1.54,0.56
42,0.42,-1.54,0.28
43,0.49,-1.68,0.35
44,0.35,-1.54,0.42
45,0.77,-1.40,0.42
46,0.42,-1.61,0.42
47,0.56,-1.54,0.35
48,0.56,-1.54,0.35
49,0.77,-1.54,0.35
50,0.35,-1.54,0.14
51,0.56,-1.54,0.42
52,0.56,-1.54,0.42
53,0.56,-1.54,0.42
54,0.49,-1.61,0.28
55,0.49,-1.68,0.35
56,0.70,-1.54,0.42
57,0.56,-1.61,0.28
58,0.56,-1.68,0.35
59,0.49,-1.47,0.35
60,0.70,-1.54,0.42
61,0.42,-1.61,0.28
62,0.56,-1.54,0.35
63,0.42,-1.54,0.35
64,0.56,-1.54,0.49
65,0.35,-1.54,0.28
66,0.63,-1.61,0.35
67,0.63,-1.54,0.42
68,0.70,-1.54,0.28
69,0.56,-1.54,0.28
70,0.70,-1.40,0.42
71,0.63,-1.61,0.42
72,0.56,-1.47,0.28
73,0.49,-1.54,0.28
74,0.49,-1.47,0.35
75,0.70,-1.40,0.49
76,0.63,-1.61,0.35
77,0.56,-1.68,0.35
78,0.49,-1.54,0.35
79,0.77,-1.54,0.42
80,0.35,-1.61,0.14
81,0.63,-1.54,0.28
82,0.49,-1.47,0.35
83,0.63,-1.54,0.42
84,0.35,-1.68,0.21
85,0.56,-1.54,0.35
86,0.56,-1.47,0.28
87,0.63,-1.54,0.56
88,0.42,-1.75,0.28
89,0.49,-1.54,0.28
90,0.49,-1.54,0.28
91,0.49,-1.54,0.42
92,0.63,-1.68,0.28
93,0.49,-1.47,0.35
94,0.63,-1.68,0.35
95,0.35,-1.61,0.28
96,0.56,-1.61,0.35
97,0.56,-1.54,0.35
98,0.70,-1.54,0.42
99,0.49,-1.54,0.28
100,0.63,-1.54,0.35
101,0.49,-1.40,0.35
102,0.70,-1.47,0.42
103,0.56,-1.54,0.35
104,0.35,-1.61,0.28
105,0.70,-1.54,0.28
106,0.70,-1.61,0.35
107,0.70,-1.40,0.49
108,0.42,-1.61,0.28
109,0.56,-1.54,0.49
110,0.63,-1.47,0.42
111,0.56,-1.54,0.35
112,0.84,-1.40,0.42
113,0.49,-1.61,0.28
114,0.56,-1.68,0.42
115,0.63,-1.54,0.42
116,0.49,-1.61,0.42
117,0.56,-1.61,0.35
118,0.49,-1.61,0.21
119,0.84,-1.54,0.56
120,0.49,-1.54,0.35
121,0.63,-1.54,0.28
122,0.56,-1.47,0.42
123,0.77,-1.47,0.35
124,0.42,-1.68,0.28
125,0.56,-1.54,0.28
126,0.63,-1.54,0.42
127,0.63,-1.47,0.35
128,0.63,-1.47,0.35
129,0.56,-1.54,0.49
130,0.70,-1.61,0.35
131,0.56,-1.54,0.35
132,0.56,-1.54,0.35
133,0.49,-1.47,0.35
134,0.56,-1.47,0.49
135,0.49,-1.54,0.42
136,0.56,-1.68,0.28
137,0.56,-1.61,0.42
138,0.56,-1.54,0.42
139,0.63,-1.47,0.42
140,0.35,-1.68,0.21
141,0.56,-1.61,0.35
142,0.49,-1.47,0.35
143,0.49,-1.61,0.14
144,0.63,-1.47,0.35
145,0.56,-1.54,0.35
146,0.49,-1.68,0.35
147,3.57,-1.19,0.28
148,6.30,-3.71,0.63
149,-1.33,-1.61,0.56
150,-2.24,-3.43,0.35
151,0.91,-0.84,0.42
152,-0.84,-1.96,0.42
153,0.35,-1.05,0.35
154,-0.77,-2.10,0.42
155,0.77,-0.70,0.49
156,-0.42,-1.47,0.21
157,0.28,-1.19,0.42
158,0.00,-1.75,0.56
159,0.63,-1.82,0.35
160,0.98,-1.68,0.35
161,0.77,-1.40,0.28
162,0.56,-1.82,0.21
163,0.70,-1.54,0.35
164,0.84,-1.75,0.21
165,0.84,-1.26,0.21
166,0.14,-1.47,0.28
