Time,x,y,z
1,0.49,-1.68,0.28
2,0.56,-1.68,0.35
3,0.56,-1.54,0.35
4,0.49,-1.68,0.28
5,0.49,-1.54,0.42
6,0.56,-1.54,0.28
7,0.63,-1.54,0.42
8,0.49,-1.68,0.21
9,0.49,-1.61,0.28
10,0.56,-1.54,0.49
11,0.70,-1.54,0.35
12,0.56,-1.47,0.28
13,0.56,-1.61,0.49
14,0.56,-1.54,0.35
15,0.56,-1.47,0.35
16,0.63,-1.40,0.35
17,0.63,-1.61,0.35
18,0.63,-1.47,0.35
19,0.49,-1.54,0.28
20,0.49,-1.61,0.28
21,0.49,-1.54,0.28
22,0.56,-1.54,0.49
23,0.63,-1.47,0.28
24,0.49,-1.61,0.28
25,0.56,-1.54,0.35
26,0.63,-1.54,0.21
27,0.63,-1.47,0.35
28,0.49,-1.54,0.21
29,0.49,-1.54,0.35
30,0.49,-1.54,0.35
31,0.63,-1.54,0.42
32,0.49,-1.54,0.49
33,0.49,-1.54,0.35
34,0.63,-1.47,0.35
35,0.49,-1.68,0.21
36,0.63,-1.54,0.42
37,0.42,-1.54,0.35
38,0.56,-1.54,0.42
39,0.56,-1.54,0.35
40,0.56,-1.68,0.21
41,0.63,-1.54,0.42
42,0.56,-1.47,0.35
43,0.49,-1.61,0.42
44,0.63,-1.61,0.28
45,0.70,-1.47,0.42
46,0.49,-1.61,0.35
47,0.63,-1.54,0.35
48,0.49,-1.54,0.49
49,0.70,-1.54,0.49
50,0.49,-1.54,0.28
51,0.49,-1.61,0.42
52,0.49,-1.61,0.21
53,0.63,-1.47,0.42
54,0.70,-1.54,0.42
55,0.49,-1.61,0.35
56,0.63,-1.47,0.35
57,0.56,-1.54,0.35
58,0.56,-1.54,0.42
59,0.49,-1.61,0.35
60,0.70,-1.54,0.42
61,0.56,-1.61,0.28
62,0.56,-1.68,0.35
63,0.63,-1.54,0.35
64,0.49,-1.47,0.35
65,0.63,-1.40,0.49
66,0.42,-1.47,0.35
67,0.56,-1.61,0.28
68,0.63,-1.61,0.35
69,0.70,-1.40,0.42
70,0.42,-1.54,0.42
71,0.49,-1.54,0.21
72,0.56,-1.47,0.49
73,0.56,-1.54,0.35
74,0.56,-1.54,0.49
75,0.63,-1.47,0.42
76,0.63,-1.47,0.49
77,0.49,-1.61,0.28
78,0.56,-1.68,0.42
79,0.56,-1.54,0.28
80,0.56,-1.54,0.42
81,0.56,-1.47,0.35
82,0.49,-1.54,0.35
83,0.56,-1.61,0.42
84,0.56,-1.54,0.35
85,0.63,-1.54,0.35
86,0.56,-1.61,0.28
87,0.63,-1.54,0.42
88,0.42,-1.61,0.28
89,0.63,-1.61,0.35
90,0.56,-1.47,0.42
91,0.63,-1.33,0.42
92,0.63,-1.47,0.35
93,0.42,-1.75,0.28
94,0.56,-1.54,0.35
95,0.56,-1.61,0.28
96,0.70,-1.54,0.42
97,0.56,-1.61,0.35
98,0.63,-1.61,0.35
99,0.63,-1.47,0.28
100,0.56,-1.61,0.35
101,0.49,-1.54,0.35
102,0.63,-1.54,0.42
103,0.63,-1.54,0.42
104,0.49,-1.68,0.21
105,0.56,-1.54,0.28
106,0.56,-1.61,0.49
107,0.70,-1.33,0.49
108,0.49,-1.61,0.28
109,0.42,-1.61,0.42
110,0.56,-1.61,0.35
111,0.56,-1.40,0.42
112,0.56,-1.47,0.42
113,0.35,-1.61,0.35
114,0.63,-1.47,0.42
115,0.56,-1.61,0.21
116,0.56,-1.54,0.28
117,0.56,-1.54,0.28
118,0.63,-1.54,0.35
119,0.49,-1.61,0.28
120,0.42,-1.54,0.42
121,0.56,-1.54,0.28
122,0.63,-1.54,0.21
123,0.63,-1.47,0.35
124,0.49,-1.61,0.21
125,0.56,-1.61,0.42
126,0.56,-1.54,0.35
127,0.49,-1.54,0.35
128,0.49,-1.61,0.35
129,0.70,-1.40,0.49
130,1.89,-1.19,0.28
131,-0.21,-0.98,0.35
132,-0.63,-2.66,0.35
133,0.21,-1.19,0.42
134,-1.26,-2.59,0.49
135,0.42,-1.40,0.28
136,-0.28,-2.03,0.42
137,-0.07,-1.26,0.21
138,-0.07,-0.98,0.42
139,0.00,-0.98,0.35
140,0.28,-1.54,0.28
141,0.70,-1.19,0.35
142,0.42,-1.82,0.28
143,0.84,-1.40,0.28
144,0.42,-1.75,0.35
145,0.98,-1.68,0.35
146,0.42,-1.89,0.28
147,0.91,-1.68,0.28
148,0.49,-1.68,0.28
149,0.49,-1.47,0.49
150,0.42,-1.40,0.28
151,0.35,-1.68,0.28
152,0.42,-1.54,0.42
153,0.42,-1.54,0.35
154,0.49,-1.54,0.42
155,0.42,-1.47,0.35
156,0.77,-1.54,0.49
157,0.49,-1.61,0.28
158,0.70,-1.61,0.28
159,0.70,-1.54,0.35
160,0.70,-1.54,0.35
161,0.63,-1.61,0.28
162,0.35,-1.68,0.35
163,0.49,-1.54,0.42
164,0.49,-1.47,0.42
165,0.70,-1.54,0.42
166,0.49,-1.68,0.21
167,0.56,-1.75,0.28
168,0.63,-1.54,0.28
169,0.63,-1.54,0.42
170,0.70,-1.47,0.49
171,0.56,-1.54,0.42
172,0.56,-1.54,0.49
173,0.56,-1.61,0.35
174,0.63,-1.40,0.35
175,0.70,-1.54,0.28
176,0.56,-1.40,0.35
177,0.70,-1.40,0.28
178,0.49,-1.61,0.28
179,0.63,-1.61,0.35
180,0.56,-1.54,0.42
181,0.63,-1.61,0.63
182,0.49,-1.61,0.21
183,0.56,-1.61,0.21
184,0.56,-1.54,0.35
185,0.63,-1.54,0.35
186,0.56,-1.54,0.35
187,0.42,-1.54,0.28
188,0.56,-1.61,0.28
189,0.49,-1.54,0.35
190,0.70,-1.61,0.42
191,0.56,-1.61,0.28
192,0.56,-1.61,0.35
193,0.49,-1.68,0.42
