Time,x,y,z
1,0.63,-1.54,0.42
2,0.49,-1.68,0.35
3,0.49,-1.54,0.42
4,0.49,-1.61,0.35
5,0.49,-1.61,0.35
6,0.63,-1.54,0.42
7,0.63,-1.40,0.49
8,0.49,-1.54,0.35
9,0.63,-1.61,0.28
10,0.42,-1.54,0.35
11,0.63,-1.47,0.28
12,0.49,-1.54,0.35
13,0.56,-1.68,0.42
14,0.63,-1.54,0.28
15,0.63,-1.54,0.42
16,0.70,-1.47,0.35
17,0.42,-1.54,0.35
18,0.63,-1.47,0.28
19,0.63,-1.61,0.35
20,0.56,-1.68,0.28
21,0.49,-1.61,0.21
22,0.56,-1.47,0.42
23,0.49,-1.47,0.28
24,0.49,-1.68,0.28
25,0.49,-1.68,0.42
26,0.56,-1.54,0.35
27,0.63,-1.47,0.35
28,0.56,-1.68,0.28
29,0.56,-1.54,0.35
30,0.56,-1.54,0.28
31,0.63,-1.54,0.42
32,0.42,-1.47,0.21
33,0.63,-1.61,0.42
34,0.56,-1.54,0.35
35,0.49,-1.75,0.21
36,0.56,-1.68,0.35
37,0.56,-1.47,0.35
38,0.63,-1.54,0.49
39,0.49,-1.54,0.28
40,0.49,-1.54,0.28
41,0.49,-1.47,0.42
42,0.63,-1.61,0.28
43,0.63,-1.61,0.35
44,0.35,-1.61,0.28
45,0.49,-1.61,0.35
46,0.56,-1.68,0.35
47,0.63,-1.61,0.28
48,0.56,-1.47,0.28
49,0.70,-1.40,0.42
50,0.49,-1.54,0.28
51,0.63,-1.61,0.42
52,0.63,-1.54,0.35
53,0.70,-1.54,0.49
54,0.70,-1.40,0.28
55,0.42,-1.61,0.35
56,0.56,-1.54,0.42
57,0.63,-1.54,0.42
58,0.63,-1.47,0.42
59,0.49,-1.61,0.28
60,0.63,-1.54,0.42
61,0.56,-1.61,0.42
62,0.63,-1.54,0.42
63,0.56,-1.54,0.42
64,0.63,-1.54,0.35
65,0.63,-1.54,0.35
66,0.49,-1.47,0.28
67,0.56,-1.54,0.35
68,0.56,-1.54,0.42
69,0.63,-1.54,0.35
70,0.56,-1.68,0.28
71,0.49,-1.61,0.28
72,0.56,-1.54,0.35
73,0.49,-1.61,0.42
74,0.49,-1.61,0.28
75,0.56,-1.54,0.28
76,0.56,-1.54,0.28
77,0.49,-1.61,0.28
78,0.56,-1.54,0.49
79,0.56,-1.61,0.42
80,0.63,-1.47,0.56
81,0.49,-1.61,0.28
82,0.56,-1.61,0.28
83,0.63,-1.54,0.42
84,0.56,-1.54,0.35
85,0.70,-1.47,0.35
86,0.42,-1.61,0.21
87,0.63,-1.61,0.42
88,0.49,-1.68,0.35
89,0.56,-1.54,0.28
90,0.56,-1.54,0.28
91,0.63,-1.54,0.42
92,0.63,-1.61,0.28
93,0.42,-1.75,0.35
94,0.56,-1.61,0.35
95,0.49,-1.54,0.35
96,0.63,-1.61,0.35
97,0.42,-1.61,0.07
98,0.56,-1.61,0.42
99,0.56,-1.47,0.42
100,0.70,-1.54,0.56
101,0.49,-1.54,0.35
102,0.63,-1.47,0.42
103,0.56,-1.61,0.35
104,0.49,-1.61,0.28
105,0.63,-1.47,0.28
106,0.56,-1.47,0.35
107,0.63,-1.54,0.35
108,0.49,-1.54,0.42
109,0.56,-1.61,0.42
110,0.56,-1.47,0.49
111,0.56,-1.47,0.49
112,0.63,-1.61,0.35
113,0.49,-1.68,0.28
114,0.49,-1.61,0.42
115,0.49,-1.61,0.42
116,0.49,-1.61,0.35
117,0.49,-1.61,0.42
118,0.70,-1.54,0.35
119,0.56,-1.61,0.28
120,0.56,-1.47,0.28
121,0.63,-1.54,0.35
122,0.56,-1.54,0.35
123,0.63,-1.47,0.42
124,0.42,-1.61,0.28
125,0.63,-1.54,0.35
126,0.56,-1.61,0.42
127,0.63,-1.54,0.42
128,0.49,-1.61,0.35
129,0.63,-1.47,0.42
130,0.56,-1.47,0.42
131,0.56,-1.40,0.42
132,0.63,-1.68,0.35
133,0.63,-1.54,0.35
134,0.63,-1.54,0.56
135,0.49,-1.61,0.42
136,0.56,-1.61,0.35
137,0.56,-1.54,0.42
138,0.70,-1.54,0.42
139,0.56,-1.54,0.35
140,0.56,-1.61,0.35
141,0.63,-1.54,0.28
142,0.49,-1.61,0.42
143,0.49,-1.61,0.28
144,0.56,-1.54,0.35
145,0.56,-1.54,0.35
146,0.49,-1.68,0.35
147,0.56,-1.61,0.35
148,0.63,-1.54,0.35
149,0.56,-1.47,0.49
150,0.63,-1.54,0.28
151,0.63,-1.61,0.42
152,0.49,-1.54,0.28
153,0.49,-1.61,0.28
154,0.70,-1.54,0.42
155,0.49,-1.61,0.42
156,0.56,-1.61,0.35
157,0.56,-1.61,0.35
158,0.70,-1.61,0.42
159,0.63,-1.54,0.42
160,0.63,-1.61,0.28
161,0.56,-1.47,0.49
162,0.42,-1.54,0.35
163,0.63,-1.54,0.28
164,0.49,-1.61,0.35
165,0.63,-1.47,0.42
166,0.49,-1.61,0.28
167,0.63,-1.68,0.35
168,0.56,-1.54,0.35
169,0.63,-1.61,0.42
170,0.63,-1.47,0.35
171,0.49,-1.54,0.28
172,0.56,-1.54,0.42
173,0.63,-1.61,0.35
174,0.63,-1.61,0.42
175,0.56,-1.61,0.35
176,0.63,-1.47,0.35
177,0.49,-1.54,0.28
178,0.49,-1.54,0.42
179,8.89,-3.43,0.49
180,0.63,-2.38,0.77
181,2.03,-2.94,0.42
182,-1.96,-2.87,0.28
183,0.70,-0.91,0.42
184,-0.63,-2.24,0.42
185,0.49,-0.77,0.42
186,-1.05,-0.70,0.28
187,0.35,-0.98,0.35
188,-0.21,-1.33,0.49
189,0.70,-1.40,0.35
190,1.12,-2.03,0.49
191,1.40,-1.75,0.42
192,0.77,-1.82,0.35
193,0.98,-1.89,0.42
194,0.84,-1.82,0.28
195,0.77,-1.68,0.35
196,0.42,-1.40,0.42
197,0.21,-1.33,0.28
198,0.07,-1.33,0.28
199,0.21,-1.26,0.42
200,0.21,-1.33,0.63
201,0.49,-1.40,0.49
202,0.28,-1.54,0.42
203,0.56,-1.61,0.42
204,0.84,-1.89,0.35
205,0.98,-1.89,0.28
206,0.98,-1.82,0.14
207,0.84,-1.82,0.21
208,0.70,-1.54,0.42
209,0.42,-1.68,0.42
210,0.21,-1.54,0.49
211,0.28,-1.33,0.49
212,0.35,-1.19,0.56
213,0.21,-1.33,0.35
214,0.42,-1.54,0.35
215,0.70,-1.61,0.35
216,0.84,-1.61,0.42
217,0.98,-1.61,0.49
218,0.77,-1.82,0.21
219,0.91,-1.61,0.35
220,0.63,-1.68,0.28
221,0.42,-1.68,0.35
222,0.35,-1.47,0.42
223,0.42,-1.33,0.35
224,0.28,-1.47,0.21
225,0.35,-1.40,0.35
226,0.49,-1.40,0.28
227,0.56,-1.47,0.49
228,0.77,-1.54,0.42
229,0.63,-1.89,0.42
230,0.91,-1.75,0.49
231,0.70,-1.68,0.42
232,0.77,-1.61,0.28
233,0.49,-1.47,0.21
234,0.49,-1.61,0.35
235,0.42,-1.47,0.21
236,0.28,-1.40,0.28
237,0.35,-1.33,0.42
238,0.35,-1.33,0.35
239,0.56,-1.54,0.42
240,0.49,-1.68,0.42
241,0.70,-1.75,0.35
242,0.77,-1.68,0.35
243,0.77,-1.54,0.28
244,0.70,-1.47,0.21
245,0.56,-1.61,0.28
246,0.49,-1.47,0.35
247,0.49,-1.54,0.28
248,0.49,-1.54,0.49
249,0.42,-1.47,0.42
250,0.56,-1.47,0.42
251,0.49,-1.61,0.28
252,0.56,-1.47,0.28
253,0.56,-1.61,0.35
254,0.70,-1.61,0.35
255,0.70,-1.68,0.35
256,0.49,-1.75,0.35
